Timestamp	AccX	AccY	AccZ	Str1	Str2	Str3
0	-1840.794	-1835.174	-833.744	1880.698	-2290.951	1098.746
1	-1840.751	-1835.332	-834.323	1880.669	-2290.416	1098.237
2	-1840.871	-1835.156	-833.978	1880.661	-2290.345	1098.042
3	-1840.851	-1834.763	-833.401	1880.770	-2290.187	1098.326
4	-1841.023	-1834.367	-832.717	1880.887	-2289.411	1098.679
5	-1841.789	-1834.478	-831.429	1880.683	-2288.506	1098.504
6	-1842.245	-1835.257	-830.847	1880.355	-2288.395	1097.914
7	-1841.528	-1835.789	-832.263	1880.525	-2289.079	1097.592
8	-1840.538	-1835.353	-834.284	1881.199	-2289.776	1097.762
9	-1840.404	-1834.478	-834.892	1881.545	-2290.080	1097.973
10	-1841.045	-1834.098	-833.767	1881.085	-2290.166	1097.972
11	-1841.878	-1834.341	-832.011	1880.492	-2290.294	1097.874
12	-1842.529	-1834.780	-831.104	1880.383	-2290.531	1097.692
13	-1842.638	-1835.103	-831.449	1880.404	-2290.705	1097.544
14	-1842.125	-1835.175	-832.477	1880.108	-2290.666	1097.727
15	-1841.080	-1834.911	-834.011	1879.852	-2290.727	1098.048
16	-1839.823	-1834.513	-836.176	1880.122	-2291.228	1098.151
17	-1839.417	-1834.374	-837.634	1880.508	-2291.975	1098.037
18	-1840.671	-1834.661	-836.058	1880.480	-2292.454	1097.669
19	-1842.818	-1835.018	-831.859	1880.423	-2292.399	1097.040
20	-1843.987	-1835.030	-828.768	1880.763	-2291.981	1096.511
21	-1843.116	-1834.760	-829.303	1881.058	-2291.615	1096.627
22	-1841.137	-1834.544	-832.557	1881.078	-2291.569	1097.683
23	-1839.626	-1834.612	-836.343	1881.164	-2291.764	1099.281
24	-1839.006	-1834.854	-838.517	1881.263	-2291.858	1100.412
25	-1839.497	-1834.950	-837.295	1880.999	-2291.820	1100.191
26	-1841.204	-1834.722	-833.002	1880.400	-2291.922	1098.578
27	-1843.130	-1834.464	-828.650	1879.882	-2292.053	1096.611
28	-1843.818	-1834.633	-827.252	1879.922	-2291.878	1095.735
29	-1842.703	-1834.947	-829.573	1880.522	-2291.415	1096.572
30	-1840.420	-1834.833	-834.332	1881.088	-2291.046	1098.422
31	-1838.730	-1834.573	-838.342	1881.125	-2291.151	1099.905
32	-1839.024	-1834.532	-838.743	1880.692	-2291.749	1100.011
33	-1840.613	-1834.562	-835.905	1880.254	-2292.427	1098.922
34	-1842.420	-1834.711	-831.844	1880.120	-2292.763	1097.539
35	-1844.003	-1835.062	-828.179	1880.222	-2292.547	1096.753
36	-1844.389	-1835.347	-827.414	1880.277	-2291.945	1097.073
37	-1842.684	-1835.303	-831.342	1880.185	-2291.478	1098.374
38	-1839.904	-1834.966	-837.417	1880.196	-2291.537	1100.189
39	-1838.219	-1834.499	-840.695	1880.564	-2291.804	1101.766
40	-1838.742	-1834.141	-838.497	1881.210	-2291.736	1102.023
41	-1840.968	-1834.223	-832.806	1881.657	-2291.382	1100.593
42	-1843.063	-1834.802	-828.165	1881.476	-2291.245	1098.537
43	-1843.520	-1835.391	-827.239	1880.930	-2291.736	1097.408
44	-1842.335	-1835.377	-830.055	1880.756	-2292.510	1098.040
45	-1840.189	-1834.674	-835.057	1881.138	-2292.780	1099.921
46	-1838.403	-1833.906	-839.180	1881.481	-2292.578	1101.510
47	-1838.602	-1833.827	-839.208	1881.396	-2292.607	1101.629
48	-1840.829	-1834.546	-834.626	1881.173	-2292.842	1100.314
49	-1843.681	-1835.375	-828.445	1881.057	-2292.632	1098.490
50	-1845.142	-1835.502	-825.234	1881.155	-2291.970	1097.377
51	-1843.936	-1834.954	-827.471	1881.619	-2291.527	1097.838
52	-1841.017	-1834.333	-833.418	1882.139	-2291.605	1099.860
53	-1838.533	-1834.027	-838.811	1881.942	-2291.843	1102.119
54	-1837.908	-1834.092	-840.254	1881.032	-2291.970	1102.728
55	-1839.270	-1834.392	-837.207	1880.379	-2292.022	1101.147
56	-1841.745	-1834.734	-831.744	1880.574	-2292.093	1098.611
57	-1843.921	-1835.029	-827.094	1881.145	-2292.193	1096.919
58	-1844.365	-1835.113	-826.158	1881.224	-2292.137	1097.223
59	-1842.623	-1834.758	-830.050	1880.655	-2291.799	1099.416
60	-1839.748	-1834.136	-836.489	1880.190	-2291.399	1102.290
61	-1837.979	-1833.870	-840.606	1880.208	-2291.241	1104.072
62	-1838.644	-1834.205	-839.052	1880.260	-2291.292	1103.554
63	-1840.907	-1834.650	-833.162	1880.239	-2291.314	1101.084
64	-1843.065	-1834.696	-827.627	1880.472	-2291.383	1098.255
65	-1843.756	-1834.475	-826.136	1880.855	-2291.678	1096.772
66	-1842.701	-1834.503	-828.715	1880.876	-2291.808	1097.426
67	-1840.725	-1834.821	-833.329	1880.585	-2291.487	1099.773
68	-1838.870	-1834.808	-837.878	1880.488	-2291.082	1102.387
69	-1838.231	-1834.243	-839.631	1880.595	-2290.967	1103.523
70	-1839.619	-1833.865	-836.267	1880.503	-2291.033	1102.213
71	-1842.465	-1834.229	-829.604	1880.103	-2290.983	1099.199
72	-1844.501	-1834.874	-825.215	1879.703	-2290.759	1096.662
73	-1843.934	-1835.064	-826.804	1879.729	-2290.559	1096.520
74	-1841.766	-1834.761	-832.557	1880.302	-2290.559	1098.756
75	-1840.147	-1834.436	-837.505	1880.971	-2290.783	1101.565
76	-1839.682	-1834.307	-838.511	1881.207	-2290.990	1102.933
77	-1840.029	-1834.225	-836.492	1881.015	-2290.840	1101.941
78	-1840.885	-1834.106	-834.105	1880.730	-2290.496	1099.372
79	-1841.939	-1834.305	-831.962	1880.606	-2290.476	1097.004
80	-1842.893	-1835.008	-829.703	1880.670	-2290.860	1096.352
81	-1842.866	-1835.494	-829.340	1880.685	-2291.253	1097.638
82	-1841.203	-1834.915	-832.722	1880.511	-2291.348	1099.870
83	-1838.847	-1833.626	-837.809	1880.360	-2291.120	1101.762
84	-1837.671	-1833.011	-840.435	1880.326	-2290.762	1102.186
85	-1838.708	-1833.912	-838.161	1880.051	-2290.721	1100.639
86	-1841.480	-1835.538	-831.993	1879.449	-2291.115	1098.000
87	-1844.128	-1836.141	-826.271	1879.036	-2291.541	1096.015
88	-1844.652	-1835.073	-825.810	1879.293	-2291.751	1095.878
89	-1842.405	-1833.713	-831.273	1880.114	-2291.867	1097.556
90	-1839.115	-1833.774	-837.966	1880.851	-2292.121	1099.923
91	-1837.858	-1835.152	-840.057	1880.906	-2292.496	1101.253
92	-1839.953	-1836.089	-835.900	1880.355	-2292.756	1100.365
93	-1843.542	-1835.397	-829.356	1879.947	-2292.718	1097.802
94	-1845.133	-1833.728	-826.207	1880.179	-2292.257	1095.549
95	-1843.306	-1832.931	-828.914	1880.626	-2291.568	1095.380
96	-1840.345	-1834.023	-834.283	1880.685	-2291.233	1097.257
97	-1838.891	-1835.889	-837.459	1880.329	-2291.702	1099.465
98	-1839.554	-1836.482	-836.712	1879.911	-2292.579	1100.391
99	-1841.100	-1835.112	-833.930	1879.624	-2292.898	1099.691
100	-1841.799	-1833.267	-831.876	1879.460	-2292.339	1097.864
101	-1841.645	-1832.829	-831.084	1879.476	-2291.608	1095.793
102	-1841.611	-1834.010	-830.479	1879.697	-2291.274	1094.689
103	-1841.922	-1835.445	-830.252	1879.971	-2291.179	1095.395
104	-1841.563	-1835.833	-832.025	1880.089	-2291.037	1097.501
105	-1839.967	-1835.027	-835.653	1880.008	-2290.598	1099.564
106	-1838.620	-1833.793	-838.388	1879.961	-2289.861	1100.193
107	-1838.730	-1833.171	-837.683	1880.088	-2289.346	1098.907
108	-1840.254	-1833.921	-833.628	1880.169	-2289.537	1096.405
109	-1842.705	-1835.500	-829.215	1880.020	-2290.280	1094.329
110	-1844.211	-1836.072	-828.191	1879.901	-2290.876	1094.196
111	-1843.347	-1834.875	-831.079	1880.061	-2290.871	1096.315
112	-1841.206	-1833.286	-834.642	1880.285	-2290.421	1099.252
113	-1839.794	-1832.865	-835.888	1880.330	-2290.029	1100.595
114	-1839.941	-1833.897	-834.618	1880.150	-2290.028	1099.323
115	-1840.919	-1835.230	-832.764	1879.946	-2290.277	1096.906
116	-1842.067	-1835.377	-831.761	1880.061	-2290.391	1095.440
117	-1842.862	-1834.381	-831.123	1880.417	-2290.004	1095.821
118	-1842.360	-1833.623	-830.934	1880.705	-2289.193	1097.509
119	-1840.721	-1833.923	-832.389	1880.812	-2288.698	1099.440
120	-1839.232	-1834.507	-834.763	1880.827	-2289.109	1100.784
121	-1839.263	-1834.659	-835.423	1880.779	-2290.044	1100.747
122	-1840.662	-1834.485	-833.434	1880.733	-2290.643	1099.152
123	-1841.688	-1834.232	-830.892	1880.771	-2290.527	1097.082
124	-1841.973	-1834.052	-830.070	1880.708	-2290.122	1096.093
125	-1841.772	-1834.112	-831.402	1880.436	-2290.013	1096.994
126	-1841.131	-1834.619	-833.233	1880.170	-2290.217	1099.117
127	-1840.881	-1835.189	-833.877	1880.238	-2290.413	1100.974
128	-1841.090	-1835.111	-833.549	1880.633	-2290.330	1101.469
129	-1841.184	-1834.497	-833.217	1880.844	-2290.126	1100.512
130	-1841.236	-1833.939	-832.980	1880.597	-2290.148	1098.909
131	-1841.167	-1833.682	-832.315	1880.234	-2290.359	1097.745
132	-1841.064	-1833.858	-831.700	1880.080	-2290.633	1097.758
133	-1841.229	-1834.718	-832.314	1880.126	-2290.892	1099.006
134	-1841.441	-1835.702	-833.595	1880.289	-2290.810	1100.587
135	-1841.547	-1835.650	-833.512	1880.503	-2290.101	1101.324
136	-1841.693	-1834.515	-831.817	1880.713	-2289.348	1100.881
137	-1841.625	-1833.501	-831.084	1880.842	-2289.710	1099.925
138	-1841.179	-1833.526	-832.576	1880.815	-2291.119	1099.458
139	-1840.844	-1834.501	-834.378	1880.644	-2292.051	1099.995
140	-1841.089	-1835.698	-834.333	1880.387	-2291.693	1101.290
141	-1841.537	-1835.998	-832.627	1880.444	-2290.937	1102.604
142	-1841.657	-1834.833	-831.377	1881.134	-2290.813	1103.218
143	-1841.061	-1833.305	-832.691	1881.990	-2291.244	1102.825
144	-1840.029	-1833.182	-835.798	1882.241	-2291.577	1101.650
145	-1839.556	-1834.450	-837.279	1881.718	-2291.527	1100.387
146	-1840.298	-1835.475	-835.738	1880.946	-2291.382	1099.870
147	-1841.834	-1835.341	-833.128	1880.551	-2291.345	1100.289
148	-1842.829	-1834.525	-831.848	1880.677	-2291.199	1100.999
149	-1842.564	-1833.873	-832.220	1881.006	-2290.805	1101.322
150	-1841.789	-1834.018	-832.985	1881.278	-2290.446	1101.062
151	-1841.394	-1834.714	-833.403	1881.615	-2290.359	1100.256
