Timestamp	AccX	AccY	AccZ	Str1	Str2	Str3
0	-1841.411	-1834.828	-833.185	1863.898	-2303.517	1102.941
1	-1841.047	-1834.963	-833.104	1863.560	-2303.048	1103.655
2	-1840.738	-1835.211	-832.746	1863.635	-2302.569	1103.831
3	-1840.529	-1835.031	-832.430	1863.780	-2302.300	1103.505
4	-1840.456	-1834.442	-832.562	1863.807	-2302.221	1103.185
5	-1840.445	-1833.945	-832.750	1863.913	-2302.316	1103.078
6	-1840.565	-1833.975	-832.268	1864.106	-2302.533	1103.043
7	-1840.854	-1834.491	-831.424	1864.251	-2302.555	1102.860
8	-1841.000	-1834.905	-831.194	1864.389	-2302.114	1102.603
9	-1840.813	-1834.746	-832.082	1864.612	-2301.653	1102.671
10	-1840.666	-1834.318	-833.566	1864.773	-2301.802	1103.117
11	-1840.767	-1834.187	-834.205	1864.637	-2302.311	1103.363
12	-1840.822	-1834.338	-833.213	1864.420	-2302.622	1102.985
13	-1840.840	-1834.354	-832.669	1864.475	-2302.838	1102.424
14	-1841.047	-1834.395	-834.142	1864.581	-2303.229	1102.496
15	-1841.402	-1834.704	-835.351	1864.329	-2303.562	1103.199
16	-1841.891	-1835.036	-834.612	1863.916	-2303.579	1103.827
17	-1842.018	-1835.066	-833.161	1863.755	-2303.349	1104.068
18	-1841.437	-1834.771	-832.607	1863.878	-2302.791	1104.090
19	-1840.707	-1834.245	-833.184	1864.137	-2301.949	1103.899
20	-1840.303	-1833.735	-833.740	1864.127	-2301.511	1103.572
21	-1840.590	-1833.784	-832.918	1863.424	-2302.059	1103.318
22	-1841.473	-1834.510	-831.506	1862.387	-2303.057	1103.190
23	-1842.019	-1835.261	-831.313	1862.091	-2303.536	1103.388
24	-1841.904	-1835.485	-831.985	1862.966	-2303.311	1104.053
25	-1841.544	-1835.211	-832.289	1864.242	-2302.768	1104.840
26	-1841.141	-1834.697	-832.190	1865.107	-2302.279	1105.260
27	-1840.708	-1834.245	-832.562	1865.496	-2301.921	1105.110
28	-1840.261	-1834.106	-833.551	1865.745	-2301.626	1104.658
29	-1839.996	-1834.155	-834.136	1865.856	-2301.395	1104.340
30	-1840.519	-1834.187	-833.868	1865.547	-2301.371	1104.277
31	-1841.647	-1834.419	-833.211	1864.827	-2301.795	1104.220
32	-1842.282	-1834.759	-833.114	1863.995	-2302.430	1103.869
33	-1841.905	-1834.673	-834.570	1863.424	-2302.639	1103.329
34	-1841.088	-1834.207	-836.447	1863.229	-2302.196	1103.028
35	-1840.778	-1833.837	-835.803	1863.193	-2301.647	1103.049
36	-1841.133	-1833.834	-833.107	1863.169	-2301.587	1102.985
37	-1841.359	-1834.136	-831.691	1863.128	-2301.832	1102.594
38	-1841.411	-1834.610	-831.964	1862.963	-2301.836	1102.186
39	-1841.969	-1835.059	-831.779	1862.546	-2301.786	1102.096
40	-1842.146	-1835.272	-830.837	1861.970	-2302.163	1102.110
41	-1840.715	-1835.018	-830.892	1861.594	-2302.597	1102.022
42	-1838.695	-1834.284	-832.650	1861.555	-2302.428	1101.995
43	-1837.804	-1833.676	-834.183	1861.739	-2301.794	1102.078
44	-1838.590	-1833.801	-833.098	1862.171	-2301.400	1102.055
45	-1840.239	-1834.412	-830.598	1862.926	-2301.393	1101.694
46	-1841.254	-1834.838	-830.318	1863.621	-2301.105	1101.269
47	-1840.759	-1834.899	-832.915	1863.667	-2300.437	1101.369
48	-1840.114	-1834.696	-834.937	1863.138	-2300.326	1101.966
49	-1840.821	-1834.122	-834.064	1862.802	-2300.977	1102.459
50	-1841.496	-1833.530	-832.807	1863.074	-2301.419	1102.462
51	-1841.150	-1833.685	-833.779	1863.353	-2301.102	1102.047
52	-1841.054	-1834.461	-834.847	1863.125	-2300.445	1101.562
53	-1841.720	-1835.088	-833.755	1862.988	-2300.100	1101.272
54	-1842.489	-1835.152	-832.068	1863.425	-2300.255	1101.183
55	-1842.472	-1834.717	-832.185	1864.010	-2300.282	1101.406
56	-1841.655	-1834.291	-833.870	1864.181	-2299.841	1101.864
57	-1841.031	-1834.438	-834.246	1863.869	-2299.619	1102.021
58	-1840.913	-1834.740	-831.751	1863.342	-2300.140	1101.473
59	-1840.674	-1834.457	-829.919	1862.924	-2300.844	1100.688
60	-1840.153	-1834.084	-831.849	1862.960	-2300.822	1100.543
61	-1840.060	-1834.537	-834.178	1863.505	-2300.149	1101.001
62	-1840.984	-1835.454	-833.234	1864.285	-2299.679	1101.212
63	-1842.195	-1835.517	-830.876	1864.812	-2299.863	1101.043
64	-1842.120	-1834.588	-830.741	1864.710	-2300.519	1101.235
65	-1840.811	-1833.838	-833.477	1864.279	-2301.443	1101.729
66	-1840.015	-1834.169	-835.848	1864.066	-2302.168	1101.911
67	-1840.866	-1834.870	-834.550	1864.025	-2302.250	1101.833
68	-1842.375	-1834.852	-831.821	1863.860	-2301.984	1101.777
69	-1842.348	-1834.366	-832.285	1863.649	-2301.851	1101.751
70	-1840.932	-1834.137	-835.089	1863.638	-2301.760	1102.018
71	-1840.613	-1834.101	-835.413	1863.799	-2301.353	1102.819
72	-1841.380	-1833.925	-833.266	1863.833	-2300.929	1103.703
73	-1841.545	-1833.851	-832.678	1863.589	-2301.017	1103.901
74	-1841.030	-1834.188	-834.076	1863.387	-2301.116	1103.125
75	-1840.608	-1834.738	-834.506	1863.778	-2300.439	1101.848
76	-1840.886	-1835.005	-832.715	1864.691	-2299.476	1100.996
77	-1841.400	-1834.427	-830.435	1865.234	-2299.335	1101.057
78	-1840.871	-1833.461	-830.588	1864.777	-2299.962	1101.639
79	-1839.823	-1833.635	-833.223	1863.913	-2300.380	1102.287
80	-1839.917	-1835.151	-834.048	1863.745	-2300.158	1102.831
81	-1841.341	-1836.195	-831.277	1864.344	-2299.941	1102.933
82	-1841.999	-1835.433	-829.521	1864.848	-2300.420	1102.594
83	-1840.879	-1833.987	-831.540	1864.848	-2301.119	1102.340
84	-1839.745	-1833.593	-834.023	1864.746	-2301.081	1102.269
85	-1840.161	-1834.393	-833.693	1864.730	-2300.543	1102.153
86	-1841.272	-1835.166	-832.415	1864.563	-2300.299	1102.144
87	-1841.386	-1834.953	-833.537	1864.290	-2300.221	1102.474
88	-1840.491	-1834.160	-835.874	1864.278	-2299.820	1102.791
89	-1840.478	-1833.835	-835.683	1864.604	-2299.351	1102.752
90	-1841.962	-1834.096	-832.555	1864.821	-2299.251	1102.437
91	-1842.843	-1834.276	-830.634	1864.572	-2299.164	1101.959
92	-1841.854	-1834.288	-832.868	1864.173	-2298.899	1101.463
93	-1840.311	-1834.591	-836.391	1864.046	-2299.088	1101.215
94	-1840.073	-1835.118	-836.401	1863.989	-2299.831	1101.410
95	-1841.147	-1834.993	-833.079	1863.891	-2300.419	1101.957
96	-1842.437	-1834.028	-830.217	1864.076	-2300.367	1102.423
97	-1842.744	-1833.470	-829.821	1864.329	-2299.798	1102.217
98	-1841.945	-1834.212	-830.570	1864.214	-2298.946	1101.548
99	-1841.033	-1835.367	-830.747	1864.013	-2298.118	1101.133
100	-1840.582	-1835.488	-830.938	1864.088	-2297.859	1101.098
101	-1840.095	-1834.530	-832.245	1864.511	-2298.310	1101.525
102	-1839.950	-1833.753	-833.102	1865.076	-2299.031	1102.470
103	-1840.768	-1834.061	-831.721	1865.256	-2299.654	1103.169
104	-1841.561	-1834.946	-829.830	1864.948	-2300.065	1102.894
105	-1841.234	-1835.221	-830.766	1864.803	-2300.162	1102.195
106	-1840.749	-1834.615	-834.191	1865.201	-2300.012	1101.901
107	-1840.729	-1834.112	-836.675	1865.662	-2299.821	1101.873
108	-1840.711	-1834.312	-836.452	1865.788	-2299.627	1101.697
109	-1840.848	-1834.560	-835.023	1865.888	-2299.452	1101.358
110	-1841.290	-1834.191	-834.500	1866.307	-2299.345	1101.163
111	-1842.086	-1833.702	-834.392	1866.684	-2299.236	1101.368
112	-1842.893	-1833.968	-833.248	1866.545	-2299.257	1101.755
113	-1842.444	-1834.813	-832.237	1866.143	-2299.764	1102.090
114	-1840.634	-1835.197	-833.154	1865.926	-2300.605	1102.630
115	-1839.463	-1834.718	-834.735	1865.946	-2300.711	1103.293
116	-1839.819	-1834.050	-834.278	1866.279	-2299.665	1103.591
117	-1840.788	-1833.943	-831.452	1866.851	-2298.841	1103.434
118	-1841.598	-1834.361	-828.630	1867.107	-2299.320	1103.045
119	-1841.620	-1834.739	-828.381	1866.685	-2299.991	1102.643
120	-1840.880	-1834.829	-830.384	1865.928	-2299.465	1102.468
121	-1840.413	-1834.808	-832.068	1865.523	-2298.319	1102.608
122	-1840.479	-1834.757	-832.498	1865.829	-2297.750	1102.919
123	-1840.848	-1834.611	-832.637	1866.439	-2297.757	1103.272
124	-1841.512	-1834.387	-833.047	1866.775	-2297.738	1103.572
125	-1841.976	-1834.381	-833.049	1866.723	-2297.602	1103.451
126	-1841.856	-1834.839	-832.472	1866.405	-2297.600	1102.988
127	-1841.368	-1835.366	-832.926	1866.057	-2297.651	1103.218
128	-1840.772	-1835.210	-835.426	1866.022	-2297.632	1104.292
129	-1840.464	-1834.295	-838.008	1866.382	-2297.654	1104.990
130	-1840.836	-1833.687	-837.732	1866.786	-2297.676	1104.631
131	-1841.258	-1834.174	-834.736	1867.087	-2297.563	1103.702
132	-1841.181	-1835.061	-832.255	1867.557	-2297.449	1102.909
133	-1841.162	-1835.283	-832.270	1868.130	-2297.698	1102.554
134	-1841.275	-1834.624	-833.397	1868.249	-2298.326	1102.709
135	-1841.187	-1833.818	-833.681	1867.831	-2298.724	1103.458
136	-1840.969	-1833.798	-833.148	1867.384	-2298.517	1104.619
137	-1840.763	-1834.465	-832.581	1867.213	-2298.196	1105.419
138	-1840.935	-1834.871	-832.178	1867.135	-2298.301	1105.159
139	-1841.477	-1834.672	-831.521	1866.985	-2298.649	1103.927
140	-1841.636	-1834.453	-830.461	1866.914	-2298.559	1102.471
141	-1841.298	-1834.698	-830.110	1866.840	-2297.825	1101.703
142	-1840.781	-1835.128	-831.340	1866.516	-2297.175	1102.091
143	-1840.401	-1835.091	-832.977	1866.060	-2297.138	1103.191
144	-1840.733	-1834.450	-833.465	1865.821	-2297.485	1104.314
145	-1841.454	-1833.931	-833.134	1866.024	-2298.072	1105.076
146	-1841.460	-1834.144	-833.245	1866.435	-2298.886	1105.214
147	-1840.844	-1834.654	-834.018	1866.588	-2299.700	1104.618
148	-1840.521	-1834.625	-834.376	1866.475	-2300.188	1103.518
149	-1840.531	-1834.134	-833.865	1866.396	-2300.104	1102.510
