Timestamp	AccX	AccY	AccZ	Str1	Str2	Str3
0	-1841.321	-1834.959	-832.443	1881.400	-2281.333	1104.530
1	-1841.852	-1835.093	-831.091	1881.473	-2281.669	1103.602
2	-1841.873	-1835.507	-832.027	1881.317	-2281.885	1102.653
3	-1841.505	-1835.464	-833.739	1881.486	-2281.894	1102.810
4	-1841.051	-1834.900	-834.659	1881.933	-2281.753	1104.241
5	-1840.772	-1834.657	-834.856	1882.194	-2281.710	1105.637
6	-1840.540	-1835.147	-835.012	1882.092	-2281.969	1105.564
7	-1840.585	-1835.842	-834.939	1881.825	-2282.369	1104.160
8	-1841.362	-1836.026	-833.852	1881.762	-2282.535	1102.753
9	-1842.300	-1835.610	-832.291	1881.967	-2282.603	1102.116
10	-1842.286	-1835.260	-832.095	1882.203	-2282.914	1102.133
11	-1841.333	-1835.453	-833.643	1882.209	-2283.207	1102.660
12	-1840.476	-1835.704	-835.341	1881.872	-2283.095	1103.611
13	-1840.519	-1835.380	-835.644	1881.452	-2282.824	1104.650
14	-1841.208	-1834.712	-834.455	1881.418	-2282.929	1105.178
15	-1841.504	-1834.634	-833.248	1881.902	-2283.282	1104.739
16	-1841.280	-1835.421	-833.165	1882.447	-2283.385	1103.732
17	-1841.332	-1835.954	-833.344	1882.576	-2283.168	1103.306
18	-1841.740	-1835.262	-832.918	1882.420	-2283.007	1104.082
19	-1841.764	-1834.148	-832.956	1882.374	-2283.100	1105.330
20	-1841.122	-1834.033	-833.968	1882.332	-2283.274	1105.784
21	-1840.451	-1834.969	-834.537	1881.906	-2283.440	1105.045
22	-1840.355	-1835.763	-833.779	1881.189	-2283.719	1103.882
23	-1840.852	-1835.667	-832.633	1880.710	-2284.066	1103.273
24	-1841.613	-1835.099	-832.303	1880.816	-2284.211	1103.364
25	-1841.867	-1834.861	-832.841	1881.282	-2284.217	1103.575
26	-1841.277	-1835.136	-833.701	1881.532	-2284.331	1103.840
27	-1840.661	-1835.294	-834.547	1881.405	-2284.473	1104.375
28	-1840.643	-1834.944	-835.079	1881.283	-2284.384	1104.675
29	-1840.972	-1834.676	-834.782	1881.411	-2284.215	1104.206
30	-1841.259	-1835.132	-833.748	1881.735	-2284.475	1103.436
31	-1841.354	-1835.763	-833.008	1882.134	-2285.017	1103.407
32	-1841.338	-1835.519	-833.409	1882.463	-2285.085	1104.335
33	-1841.284	-1834.552	-834.460	1882.636	-2284.459	1105.355
34	-1841.226	-1834.151	-834.569	1882.620	-2283.752	1105.578
35	-1841.096	-1834.806	-833.269	1882.468	-2283.517	1104.863
36	-1840.888	-1835.615	-832.292	1882.361	-2283.670	1103.984
37	-1840.835	-1835.708	-832.828	1882.422	-2283.790	1103.886
38	-1841.074	-1835.285	-833.559	1882.555	-2283.769	1104.496
39	-1841.283	-1835.121	-833.247	1882.443	-2283.804	1104.974
40	-1841.077	-1835.303	-832.762	1882.031	-2284.132	1105.136
41	-1840.691	-1835.223	-833.207	1881.553	-2284.901	1105.457
42	-1840.683	-1834.807	-834.127	1881.053	-2285.709	1105.871
43	-1840.978	-1834.767	-834.377	1880.449	-2285.993	1105.686
44	-1840.939	-1835.434	-833.928	1880.180	-2285.738	1104.758
45	-1840.579	-1836.046	-833.991	1880.635	-2285.233	1103.822
46	-1840.609	-1835.630	-834.940	1881.225	-2284.683	1103.694
47	-1841.221	-1834.478	-835.342	1881.322	-2284.336	1104.392
48	-1841.967	-1834.094	-834.193	1880.959	-2284.326	1105.042
49	-1842.273	-1835.133	-832.652	1880.464	-2284.555	1104.778
50	-1841.688	-1836.337	-832.688	1880.199	-2284.954	1103.797
51	-1840.903	-1836.200	-834.212	1880.485	-2285.479	1103.042
52	-1841.037	-1834.876	-834.762	1881.049	-2285.654	1102.813
53	-1841.593	-1833.994	-833.400	1881.082	-2285.237	1102.668
54	-1841.470	-1834.536	-832.240	1880.268	-2284.837	1102.569
55	-1840.868	-1835.614	-832.766	1879.441	-2285.064	1102.954
56	-1840.643	-1835.812	-833.744	1879.428	-2285.511	1103.622
57	-1840.871	-1835.117	-833.781	1879.670	-2285.474	1103.717
58	-1840.838	-1834.616	-833.361	1879.279	-2285.166	1103.003
59	-1840.384	-1834.783	-833.660	1878.848	-2285.198	1102.382
60	-1840.111	-1835.156	-834.892	1879.495	-2285.536	1102.789
61	-1840.601	-1835.266	-835.341	1880.606	-2285.642	1103.863
62	-1841.609	-1835.162	-834.001	1880.689	-2285.405	1104.529
63	-1842.089	-1835.248	-832.960	1879.819	-2285.014	1104.498
64	-1841.529	-1835.586	-833.913	1879.216	-2284.570	1104.159
65	-1840.837	-1835.554	-835.478	1879.339	-2284.256	1103.675
66	-1840.910	-1834.933	-835.639	1879.980	-2284.174	1103.130
67	-1841.440	-1834.698	-834.343	1880.629	-2284.170	1102.960
68	-1841.612	-1835.459	-833.317	1880.703	-2284.109	1103.290
69	-1841.300	-1836.145	-833.677	1880.360	-2283.995	1103.781
70	-1841.061	-1835.618	-834.065	1880.111	-2284.166	1104.297
71	-1841.315	-1834.552	-832.868	1880.034	-2285.056	1104.675
72	-1841.368	-1834.269	-831.596	1880.065	-2286.171	1104.575
73	-1840.829	-1834.999	-832.324	1880.059	-2286.329	1104.011
74	-1840.749	-1835.720	-833.837	1879.851	-2285.130	1103.472
75	-1841.415	-1835.631	-834.037	1879.514	-2283.741	1103.376
76	-1841.737	-1835.203	-833.021	1879.233	-2283.587	1103.659
77	-1841.441	-1835.121	-832.446	1879.068	-2284.479	1103.866
78	-1841.021	-1835.241	-833.396	1879.025	-2284.981	1103.698
79	-1840.895	-1835.221	-834.819	1879.194	-2284.633	1103.418
80	-1841.125	-1835.097	-835.100	1879.490	-2284.377	1103.269
81	-1841.304	-1835.099	-834.655	1879.644	-2284.483	1103.140
82	-1841.018	-1835.405	-834.942	1879.523	-2283.944	1103.200
83	-1840.533	-1835.716	-835.655	1879.133	-2282.680	1103.784
84	-1840.469	-1835.401	-835.495	1878.650	-2282.232	1104.496
85	-1841.027	-1834.748	-834.359	1878.478	-2283.079	1104.717
86	-1841.645	-1834.784	-833.527	1878.921	-2283.810	1104.513
87	-1841.447	-1835.514	-833.997	1879.755	-2283.686	1104.446
88	-1840.805	-1835.847	-834.503	1880.392	-2283.508	1104.786
89	-1840.921	-1835.281	-833.488	1880.339	-2283.906	1105.252
90	-1841.502	-1834.544	-832.062	1879.718	-2284.545	1105.477
91	-1841.581	-1834.530	-831.912	1879.249	-2285.045	1105.457
92	-1841.215	-1835.211	-832.731	1879.054	-2285.553	1105.341
93	-1840.922	-1835.734	-833.252	1878.581	-2286.192	1104.966
94	-1840.866	-1835.466	-832.981	1878.069	-2286.770	1104.322
95	-1840.924	-1834.767	-832.667	1878.466	-2287.003	1103.879
96	-1840.778	-1834.445	-833.274	1879.674	-2286.990	1103.981
97	-1840.428	-1834.776	-834.293	1880.393	-2286.949	1104.488
98	-1840.395	-1835.205	-834.413	1880.033	-2286.557	1104.945
99	-1840.844	-1835.237	-833.827	1879.387	-2285.880	1104.957
100	-1841.246	-1835.124	-833.744	1879.156	-2285.729	1104.698
101	-1841.275	-1835.180	-834.289	1879.021	-2286.328	1104.597
102	-1840.990	-1835.202	-834.607	1878.799	-2286.713	1104.672
103	-1840.827	-1834.938	-834.261	1878.902	-2285.999	1104.737
104	-1841.138	-1834.643	-833.814	1879.431	-2284.486	1104.774
105	-1841.435	-1834.722	-833.868	1880.089	-2283.212	1104.703
106	-1841.299	-1835.077	-833.973	1880.474	-2282.927	1104.430
107	-1841.157	-1835.244	-833.473	1880.324	-2283.689	1104.170
108	-1841.251	-1835.043	-832.938	1879.834	-2284.823	1104.090
109	-1841.216	-1834.856	-833.131	1879.461	-2285.456	1104.104
110	-1840.997	-1835.046	-833.558	1879.272	-2285.262	1104.302
111	-1840.933	-1835.430	-833.364	1879.067	-2284.575	1104.758
112	-1841.139	-1835.506	-832.632	1879.071	-2284.047	1105.189
113	-1841.379	-1835.112	-832.209	1879.395	-2284.036	1105.190
114	-1841.311	-1834.762	-832.580	1879.280	-2284.323	1104.640
115	-1840.949	-1834.968	-833.203	1878.389	-2284.667	1103.994
116	-1840.815	-1835.464	-833.369	1877.847	-2284.994	1103.800
117	-1841.129	-1835.554	-833.283	1878.407	-2285.108	1104.098
118	-1841.443	-1835.094	-833.501	1879.118	-2284.903	1104.619
119	-1841.338	-1834.659	-833.975	1879.139	-2284.614	1105.192
120	-1840.953	-1834.743	-834.327	1878.838	-2284.672	1105.643
121	-1840.761	-1835.211	-834.422	1878.678	-2285.200	1105.612
122	-1840.917	-1835.522	-834.476	1878.729	-2285.706	1105.227
123	-1841.052	-1835.343	-834.582	1879.016	-2285.772	1105.046
124	-1840.877	-1834.966	-834.631	1879.412	-2285.514	1105.216
125	-1840.619	-1834.870	-834.518	1879.499	-2285.084	1105.246
126	-1840.445	-1834.988	-834.238	1879.189	-2284.505	1104.710
127	-1840.450	-1834.918	-834.195	1879.114	-2284.014	1104.010
128	-1840.857	-1834.765	-834.303	1879.870	-2284.014	1103.829
129	-1841.404	-1834.960	-833.811	1880.781	-2284.469	1104.307
130	-1841.585	-1835.408	-832.901	1880.592	-2284.991	1104.966
131	-1841.396	-1835.526	-832.390	1879.302	-2285.282	1105.327
132	-1841.314	-1835.173	-832.202	1878.141	-2285.240	1105.320
133	-1841.397	-1834.851	-832.194	1878.101	-2285.011	1105.105
134	-1841.066	-1834.967	-832.815	1879.060	-2284.791	1104.904
135	-1840.418	-1835.356	-833.976	1880.093	-2284.631	1104.868
136	-1840.231	-1835.532	-834.666	1880.453	-2284.549	1104.907
137	-1840.555	-1835.148	-834.164	1880.082	-2284.727	1104.819
138	-1841.058	-1834.612	-833.007	1879.380	-2285.103	1104.520
139	-1841.528	-1834.652	-832.432	1879.027	-2285.187	1104.138
140	-1841.527	-1835.260	-833.123	1879.385	-2284.905	1103.883
141	-1841.003	-1835.632	-834.573	1880.197	-2284.772	1103.907
142	-1840.516	-1835.353	-835.614	1880.884	-2285.079	1104.105
143	-1840.636	-1835.014	-835.598	1880.839	-2285.493	1104.212
144	-1841.179	-1834.994	-834.803	1880.137	-2285.564	1104.184
145	-1841.522	-1835.095	-833.686	1879.810	-2285.210	1104.149
146	-1841.595	-1835.088	-832.845	1880.290	-2284.722	1104.001
147	-1841.451	-1835.061	-832.939	1880.794	-2284.581	1103.594
148	-1840.878	-1835.197	-834.118	1880.859	-2284.983	1103.316
149	-1840.117	-1835.425	-835.612	1880.812	-2285.489	1103.729
150	-1839.830	-1835.364	-835.953	1880.825	-2285.619	1104.563
151	-1840.453	-1834.916	-834.462	1880.722	-2285.444	1104.891
152	-1841.672	-1834.604	-832.093	1880.502	-2285.169	1104.377
153	-1842.479	-1834.930	-830.488	1880.363	-2284.734	1103.602
154	-1842.223	-1835.654	-830.787	1880.511	-2284.125	1103.361
155	-1841.369	-1835.988	-832.720	1880.825	-2283.668	1103.806
156	-1840.671	-1835.599	-834.613	1880.813	-2283.590	1104.597
157	-1840.649	-1834.983	-834.926	1880.383	-2283.746	1105.382
158	-1841.188	-1834.752	-833.781	1880.045	-2284.010	1105.713
159	-1841.562	-1834.927	-832.465	1880.063	-2284.335	1105.193
160	-1841.540	-1835.109	-832.076	1880.280	-2284.459	1104.341
161	-1841.335	-1835.152	-832.683	1880.373	-2284.151	1104.363
162	-1840.803	-1835.241	-833.954	1880.153	-2283.676	1105.431
163	-1839.942	-1835.405	-835.643	1879.798	-2283.522	1106.522
164	-1839.386	-1835.330	-837.010	1879.413	-2283.618	1106.892
165	-1839.754	-1834.879	-836.884	1879.103	-2283.448	1106.575
166	-1841.098	-1834.479	-834.591	1879.224	-2283.052	1105.783
167	-1842.151	-1834.578	-832.001	1879.882	-2282.970	1104.718
168	-1841.843	-1835.193	-831.831	1880.743	-2283.330	1103.944
169	-1841.019	-1835.771	-833.739	1881.393	-2283.695	1104.020
170	-1840.646	-1835.656	-835.368	1881.395	-2283.675	1104.561
171	-1840.712	-1834.981	-835.567	1880.588	-2283.432	1104.712
172	-1841.098	-1834.538	-834.444	1879.555	-2283.396	1104.440
173	-1841.586	-1834.744	-832.594	1879.402	-2283.630	1104.291
174	-1841.758	-1835.235	-831.031	1880.238	-2283.854	1104.320
175	-1841.602	-1835.496	-830.548	1881.061	-2283.901	1104.208
176	-1841.132	-1835.407	-831.632	1881.330	-2283.910	1104.141
177	-1840.301	-1835.165	-833.823	1881.151	-2284.021	1104.595
178	-1839.680	-1834.890	-835.340	1880.626	-2284.099	1105.317
179	-1839.988	-1834.649	-834.983	1879.840	-2284.024	1105.374
180	-1841.121	-1834.622	-833.141	1878.986	-2283.856	1104.365
181	-1841.882	-1834.863	-831.559	1878.355	-2283.598	1103.034
182	-1841.495	-1835.279	-831.929	1878.263	-2283.364	1102.318
183	-1840.686	-1835.631	-833.883	1878.507	-2283.262	1102.459
184	-1840.356	-1835.597	-835.759	1878.561	-2283.186	1103.228
185	-1840.508	-1835.185	-836.552	1878.344	-2283.032	1104.168
186	-1840.851	-1834.813	-835.999	1878.260	-2282.920	1104.615
187	-1841.197	-1834.793	-834.524	1878.839	-2282.828	1104.445
188	-1841.382	-1835.076	-833.335	1880.095	-2282.655	1104.196
189	-1841.392	-1835.348	-833.164	1881.452	-2282.775	1104.114
190	-1841.203	-1835.357	-833.780	1882.237	-2283.524	1104.045
191	-1840.728	-1835.180	-834.595	1882.048	-2284.317	1103.972
192	-1840.363	-1834.958	-834.704	1881.330	-2284.297	1104.201
193	-1840.636	-1834.668	-833.851	1881.166	-2283.479	1104.916
194	-1841.242	-1834.444	-832.682	1881.700	-2282.870	1105.370
195	-1841.607	-1834.661	-831.729	1881.793	-2283.116	1104.549
196	-1841.738	-1835.342	-831.378	1881.007	-2283.629	1103.022
197	-1841.582	-1835.912	-832.097	1880.291	-2283.720	1102.478
198	-1841.209	-1835.801	-833.305	1880.485	-2283.541	1103.400
199	-1840.877	-1834.975	-833.930	1881.252	-2283.194	1104.809
200	-1840.630	-1834.269	-833.901	1881.492	-2282.543	1105.590
201	-1840.629	-1834.717	-833.772	1880.953	-2281.904	1105.364
202	-1840.751	-1835.739	-833.872	1880.584	-2281.877	1104.638
203	-1840.820	-1835.867	-833.926	1880.879	-2282.391	1104.117
204	-1841.010	-1835.192	-833.824	1881.096	-2282.547	1104.053
205	-1840.934	-1834.780	-834.697	1880.555	-2281.937	1104.355
206	-1840.403	-1834.808	-836.183	1879.719	-2281.375	1104.895
207	-1840.332	-1834.861	-835.852	1879.576	-2282.004	1105.485
208	-1841.256	-1834.976	-834.163	1880.125	-2283.601	1105.666
209	-1842.190	-1835.194	-833.320	1880.449	-2284.706	1105.065
210	-1842.167	-1835.380	-833.152	1880.397	-2284.738	1103.889
211	-1841.673	-1835.245	-832.818	1880.654	-2284.272	1102.896
212	-1841.087	-1834.664	-832.746	1881.197	-2283.834	1102.809
213	-1840.538	-1834.337	-833.068	1881.377	-2283.695	1103.545
214	-1840.608	-1834.960	-833.809	1881.268	-2283.726	1104.395
215	-1841.107	-1835.659	-833.972	1881.576	-2283.549	1104.896
216	-1841.425	-1835.383	-832.055	1882.349	-2283.323	1104.900
217	-1841.387	-1834.543	-829.932	1882.806	-2283.118	1104.469
218	-1840.805	-1834.158	-830.888	1882.593	-2282.832	1104.143
219	-1840.149	-1834.670	-834.011	1882.078	-2282.943	1104.322
220	-1840.183	-1835.645	-835.962	1881.724	-2283.705	1104.708
221	-1840.683	-1836.033	-835.577	1881.671	-2284.780	1105.141
222	-1841.219	-1835.363	-833.725	1881.690	-2285.749	1105.633
223	-1842.024	-1834.457	-831.928	1881.630	-2286.204	1105.857
224	-1842.420	-1834.416	-831.677	1881.639	-2286.035	1105.668
225	-1841.537	-1835.271	-833.136	1881.644	-2285.475	1105.334
226	-1840.451	-1836.058	-835.320	1881.342	-2284.891	1105.120
227	-1840.332	-1836.018	-837.134	1880.892	-2284.713	1105.304
228	-1840.473	-1835.205	-837.452	1880.773	-2285.021	1106.095
229	-1840.706	-1834.312	-835.263	1880.818	-2285.170	1106.788
230	-1841.181	-1834.003	-831.932	1880.385	-2284.641	1106.459
231	-1841.260	-1834.525	-830.741	1879.532	-2284.133	1105.519
232	-1841.160	-1835.554	-832.327	1878.999	-2284.457	1104.981
233	-1841.215	-1836.199	-834.346	1879.227	-2285.225	1105.278
234	-1841.029	-1835.765	-835.099	1880.119	-2285.807	1106.268
235	-1840.929	-1834.623	-834.288	1881.040	-2285.852	1107.446
236	-1841.398	-1833.884	-832.401	1881.620	-2285.250	1108.017
237	-1841.996	-1834.272	-830.698	1881.942	-2284.292	1107.472
238	-1842.173	-1835.470	-830.315	1881.878	-2283.491	1106.386
239	-1841.680	-1836.313	-831.577	1881.532	-2283.321	1105.875
240	-1840.622	-1835.916	-834.183	1881.360	-2283.696	1106.467
241	-1839.796	-1834.730	-836.574	1881.331	-2283.951	1107.598
242	-1839.824	-1833.956	-836.524	1881.138	-2283.689	1108.186
243	-1840.391	-1834.139	-834.208	1880.945	-2283.443	1107.777
244	-1841.332	-1834.925	-832.117	1880.945	-2283.865	1106.722
245	-1842.138	-1835.579	-832.041	1880.936	-2284.446	1105.650
246	-1841.941	-1835.648	-833.450	1880.865	-2284.134	1105.020
247	-1841.018	-1835.281	-834.621	1880.885	-2283.330	1105.138
248	-1840.317	-1834.829	-835.171	1880.848	-2283.435	1106.198
249	-1840.296	-1834.462	-835.331	1880.797	-2284.522	1107.487
250	-1841.158	-1834.375	-834.315	1881.006	-2285.231	1107.731
251	-1842.300	-1834.829	-832.348	1881.304	-2285.003	1106.794
252	-1842.274	-1835.625	-831.267	1881.397	-2284.631	1105.642
253	-1840.965	-1836.041	-831.880	1881.319	-2284.650	1105.093
254	-1839.806	-1835.545	-833.316	1881.276	-2284.889	1105.299
255	-1839.483	-1834.482	-834.348	1881.417	-2285.085	1106.028
256	-1839.906	-1833.902	-834.440	1881.677	-2284.965	1106.672
257	-1840.726	-1834.506	-833.745	1881.670	-2284.395	1106.569
258	-1841.223	-1835.650	-832.765	1880.918	-2283.673	1105.865
259	-1841.309	-1835.959	-832.022	1879.724	-2283.328	1105.251
260	-1841.351	-1835.118	-831.827	1879.212	-2283.512	1105.160
261	-1841.243	-1834.210	-832.511	1879.946	-2283.912	1105.650
