Timestamp	AccX	AccY	AccZ	Str1	Str2	Str3
0	-1842.227	-1835.258	-834.256	1868.051	-2291.683	1106.076
1	-1842.074	-1835.274	-833.918	1867.457	-2292.018	1105.721
2	-1841.916	-1834.689	-832.678	1867.614	-2292.231	1105.075
3	-1841.867	-1834.237	-832.475	1868.284	-2292.612	1104.667
4	-1841.559	-1834.411	-833.895	1868.647	-2293.217	1105.041
5	-1840.920	-1834.961	-835.312	1868.097	-2293.399	1105.975
6	-1840.531	-1835.254	-835.288	1867.043	-2292.660	1106.735
7	-1840.893	-1835.008	-833.862	1866.749	-2291.525	1106.846
8	-1841.568	-1834.652	-832.050	1867.563	-2291.222	1106.341
9	-1841.838	-1834.772	-830.984	1868.352	-2292.247	1105.730
10	-1841.611	-1835.170	-831.096	1868.337	-2293.760	1105.558
11	-1841.155	-1835.126	-832.250	1868.041	-2294.463	1105.945
12	-1840.795	-1834.686	-834.106	1868.122	-2293.942	1106.627
13	-1840.696	-1834.578	-835.342	1868.424	-2293.043	1107.055
14	-1840.868	-1834.960	-834.424	1868.461	-2292.890	1106.695
15	-1841.473	-1835.289	-832.088	1868.207	-2293.608	1105.725
16	-1842.234	-1835.300	-831.018	1867.967	-2294.223	1105.030
17	-1842.321	-1835.237	-832.573	1867.888	-2294.132	1105.214
18	-1841.453	-1835.272	-835.225	1867.961	-2293.956	1106.057
19	-1840.359	-1835.235	-836.626	1868.166	-2294.254	1106.887
20	-1840.207	-1834.952	-836.087	1868.431	-2294.452	1107.132
21	-1841.082	-1834.763	-834.533	1868.469	-2293.800	1106.703
22	-1841.948	-1835.102	-832.809	1868.108	-2292.793	1105.943
23	-1842.203	-1835.634	-831.682	1867.833	-2292.671	1105.292
24	-1841.843	-1835.505	-831.861	1868.113	-2293.666	1104.932
25	-1841.347	-1834.721	-833.003	1868.547	-2294.657	1104.965
26	-1840.944	-1834.192	-834.483	1868.523	-2294.714	1105.512
27	-1840.468	-1834.507	-835.401	1868.101	-2294.095	1106.050
28	-1840.399	-1835.367	-834.260	1867.841	-2293.555	1105.856
29	-1841.241	-1835.724	-831.672	1868.038	-2293.546	1105.220
30	-1842.222	-1835.120	-830.133	1868.344	-2293.986	1105.025
31	-1842.360	-1834.444	-830.533	1868.244	-2294.276	1105.396
32	-1841.589	-1834.587	-832.320	1867.751	-2293.952	1105.770
33	-1840.543	-1835.172	-834.517	1867.414	-2293.251	1105.999
34	-1839.885	-1835.406	-835.630	1867.535	-2292.683	1106.324
35	-1840.164	-1835.133	-834.920	1867.787	-2292.677	1106.498
36	-1840.853	-1834.727	-833.651	1867.848	-2293.324	1106.241
37	-1841.180	-1834.712	-832.719	1867.885	-2294.222	1105.964
38	-1841.423	-1835.222	-832.363	1868.052	-2294.790	1105.894
39	-1841.543	-1835.519	-833.291	1868.246	-2294.629	1105.817
40	-1841.214	-1835.242	-834.982	1868.275	-2294.044	1106.124
41	-1840.942	-1834.913	-835.712	1867.953	-2293.706	1107.350
42	-1841.042	-1834.655	-835.222	1867.285	-2293.842	1108.703
43	-1841.609	-1834.346	-833.752	1866.607	-2294.101	1108.893
44	-1842.291	-1834.303	-831.868	1866.362	-2294.147	1107.936
45	-1842.052	-1834.788	-831.413	1866.832	-2294.091	1106.853
46	-1840.999	-1835.270	-832.642	1867.689	-2293.932	1106.422
47	-1840.664	-1835.125	-833.508	1868.176	-2293.528	1106.674
