Timestamp	AccX	AccY	AccZ	Str1	Str2	Str3
0	-1840.568	-1834.205	-834.180	1867.580	-2305.845	1100.194
1	-1840.970	-1834.246	-833.597	1867.429	-2305.877	1100.865
2	-1841.389	-1834.632	-832.764	1867.251	-2305.890	1101.396
3	-1841.728	-1834.787	-832.441	1867.290	-2305.873	1101.193
4	-1841.830	-1834.795	-832.756	1867.453	-2305.746	1100.738
5	-1841.519	-1834.944	-833.461	1867.383	-2305.580	1100.646
6	-1840.982	-1834.997	-834.227	1867.059	-2305.821	1100.905
7	-1840.760	-1834.698	-834.623	1866.765	-2306.578	1101.216
8	-1841.057	-1834.333	-834.465	1866.610	-2307.175	1101.557
9	-1841.496	-1834.321	-833.976	1866.431	-2307.100	1101.883
10	-1841.676	-1834.680	-833.559	1866.204	-2306.444	1101.863
11	-1841.442	-1835.083	-833.392	1866.068	-2305.448	1101.401
12	-1841.031	-1835.190	-833.423	1866.192	-2304.645	1101.130
13	-1841.019	-1834.932	-833.517	1866.587	-2304.664	1101.608
14	-1841.344	-1834.646	-833.687	1866.976	-2305.477	1102.419
15	-1841.561	-1834.698	-833.793	1867.236	-2306.311	1102.739
16	-1841.660	-1834.954	-833.453	1867.576	-2306.480	1102.285
17	-1841.816	-1834.990	-832.495	1868.039	-2305.881	1101.471
18	-1841.928	-1834.813	-831.570	1868.342	-2305.022	1100.823
19	-1841.847	-1834.830	-831.551	1868.277	-2304.578	1100.638
20	-1841.555	-1835.093	-832.361	1867.935	-2304.847	1101.030
21	-1841.043	-1835.090	-833.056	1867.606	-2305.284	1102.001
22	-1840.687	-1834.615	-833.014	1867.509	-2305.184	1103.166
23	-1840.650	-1834.138	-832.809	1867.621	-2304.899	1103.737
24	-1840.484	-1834.192	-833.196	1867.675	-2305.259	1103.346
25	-1840.128	-1834.725	-834.004	1867.377	-2306.116	1102.398
26	-1840.102	-1835.178	-834.475	1866.839	-2306.520	1101.625
27	-1840.590	-1835.087	-834.256	1866.486	-2306.133	1101.469
28	-1841.428	-1834.659	-833.604	1866.448	-2305.840	1101.778
29	-1842.142	-1834.354	-833.076	1866.561	-2306.281	1102.158
