Timestamp	AccX	AccY	AccZ	Str1	Str2	Str3
0	-1841.568	-1835.298	-833.878	1885.454	-2279.931	1099.850
1	-1841.738	-1835.309	-834.023	1885.009	-2280.767	1100.211
2	-1841.793	-1835.258	-833.935	1885.230	-2281.112	1100.457
3	-1841.750	-1835.167	-833.749	1886.079	-2280.987	1100.619
4	-1841.492	-1835.050	-833.912	1886.742	-2280.758	1100.552
5	-1841.133	-1834.898	-834.239	1886.629	-2280.517	1100.374
6	-1841.005	-1834.777	-834.213	1885.992	-2280.237	1100.499
7	-1841.049	-1834.777	-833.999	1885.519	-2280.263	1100.966
8	-1841.091	-1834.921	-833.865	1885.546	-2280.716	1101.378
9	-1841.218	-1835.102	-833.648	1885.720	-2281.174	1101.545
10	-1841.358	-1835.127	-833.279	1885.716	-2281.146	1101.732
11	-1841.279	-1834.983	-832.972	1885.712	-2280.647	1102.261
12	-1841.138	-1834.812	-832.894	1885.962	-2280.254	1102.864
13	-1841.254	-1834.773	-833.039	1886.267	-2280.546	1103.013
14	-1841.568	-1834.909	-833.178	1886.096	-2281.227	1102.569
15	-1841.761	-1835.088	-833.121	1885.407	-2281.081	1101.722
16	-1841.641	-1835.148	-833.052	1884.810	-2279.880	1100.899
17	-1841.450	-1835.091	-833.193	1884.836	-2279.031	1100.616
18	-1841.539	-1835.035	-833.373	1885.458	-2279.306	1100.998
19	-1841.838	-1835.002	-833.292	1886.102	-2279.575	1101.488
20	-1841.993	-1834.881	-833.096	1886.275	-2278.981	1101.495
21	-1841.825	-1834.628	-833.309	1886.138	-2278.406	1101.236
22	-1841.445	-1834.469	-834.093	1885.966	-2279.025	1101.224
23	-1841.185	-1834.715	-834.768	1885.843	-2280.545	1101.275
24	-1841.329	-1835.225	-834.606	1885.908	-2281.354	1100.904
25	-1841.682	-1835.440	-833.812	1886.155	-2280.837	1100.376
26	-1841.885	-1835.075	-833.277	1886.142	-2280.279	1100.294
27	-1841.758	-1834.504	-833.611	1885.697	-2280.770	1100.660
28	-1841.407	-1834.335	-834.492	1885.342	-2281.853	1100.996
29	-1841.130	-1834.800	-835.002	1885.554	-2282.320	1101.062
30	-1841.220	-1835.583	-834.407	1886.052	-2281.710	1100.878
31	-1841.683	-1836.049	-832.950	1886.276	-2280.826	1100.659
32	-1842.079	-1835.763	-831.821	1886.372	-2280.434	1100.689
33	-1841.950	-1834.949	-831.983	1886.786	-2280.345	1100.889
34	-1841.415	-1834.323	-833.156	1887.306	-2280.153	1100.999
35	-1840.981	-1834.424	-834.197	1887.369	-2280.011	1100.954
36	-1841.023	-1835.121	-834.297	1887.016	-2279.968	1100.829
37	-1841.543	-1835.662	-833.410	1886.729	-2279.628	1100.704
38	-1842.046	-1835.445	-832.384	1886.637	-2279.145	1100.662
39	-1842.123	-1834.757	-832.164	1886.644	-2278.951	1100.651
40	-1842.076	-1834.372	-832.525	1886.801	-2278.866	1100.603
41	-1842.008	-1834.532	-833.182	1887.030	-2278.718	1100.500
42	-1841.674	-1834.812	-834.222	1886.963	-2278.725	1100.239
43	-1841.133	-1834.914	-835.067	1886.537	-2278.957	1100.019
44	-1840.638	-1834.937	-835.068	1886.390	-2279.169	1100.240
45	-1840.662	-1834.994	-834.235	1886.864	-2279.268	1100.757
