Timestamp	AccX	AccY	AccZ	Str1	Str2	Str3
0	-1840.614	-1837.639	-837.744	1886.639	-2275.644	1068.853
1	-1843.734	-1834.729	-829.916	1886.905	-2274.489	1065.310
2	-1848.058	-1832.859	-822.952	1888.268	-2272.949	1063.717
3	-1848.998	-1833.103	-824.389	1890.146	-2271.451	1063.328
4	-1841.437	-1834.227	-833.315	1891.316	-2270.421	1064.272
5	-1832.521	-1835.612	-836.981	1891.477	-2269.680	1065.625
6	-1831.522	-1836.813	-829.764	1891.531	-2268.616	1065.022
7	-1836.295	-1836.230	-816.777	1892.171	-2267.047	1062.614
8	-1840.737	-1833.249	-807.965	1893.060	-2265.580	1060.200
9	-1842.232	-1830.531	-811.884	1893.414	-2264.758	1058.401
10	-1841.528	-1831.352	-823.122	1892.811	-2264.443	1058.122
11	-1840.973	-1835.828	-830.755	1891.427	-2264.358	1059.834
12	-1841.313	-1839.948	-833.357	1889.976	-2264.591	1061.909
13	-1840.218	-1838.690	-836.375	1889.199	-2265.149	1063.198
14	-1839.801	-1832.622	-840.399	1889.575	-2265.608	1063.637
15	-1843.981	-1827.918	-840.766	1890.863	-2265.488	1062.556
16	-1848.134	-1829.065	-840.734	1891.807	-2264.536	1060.170
17	-1847.054	-1834.838	-846.305	1891.630	-2263.072	1058.434
18	-1844.313	-1839.809	-853.222	1891.293	-2261.732	1058.819
19	-1842.853	-1838.957	-853.687	1891.985	-2260.701	1060.938
20	-1841.681	-1833.559	-848.241	1893.505	-2259.722	1062.962
21	-1842.433	-1829.801	-842.100	1894.925	-2258.526	1062.947
22	-1843.046	-1830.547	-837.339	1895.698	-2256.915	1060.863
23	-1839.892	-1833.472	-834.606	1896.030	-2254.918	1058.430
24	-1837.134	-1836.620	-831.139	1896.556	-2252.926	1056.909
25	-1838.831	-1838.424	-824.789	1897.439	-2251.318	1056.274
26	-1841.246	-1836.974	-820.511	1898.448	-2249.819	1056.031
27	-1841.357	-1833.725	-821.425	1899.439	-2247.865	1056.022
28	-1841.057	-1832.187	-824.446	1900.053	-2245.710	1056.113
29	-1841.772	-1833.547	-825.506	1899.913	-2244.341	1055.547
30	-1842.436	-1836.121	-824.924	1899.391	-2244.088	1054.138
31	-1840.838	-1837.821	-826.126	1899.312	-2244.260	1053.213
32	-1838.174	-1836.908	-829.980	1899.940	-2243.835	1053.732
