Timestamp	AccX	AccY	AccZ	Str1	Str2	Str3
0	-1840.995	-1834.396	-833.305	1882.310	-2281.462	1100.393
1	-1840.516	-1834.436	-834.890	1882.048	-2282.083	1100.174
2	-1840.661	-1835.009	-835.012	1882.134	-2282.414	1099.940
3	-1841.152	-1835.491	-833.841	1882.938	-2282.429	1099.941
4	-1841.536	-1835.283	-832.864	1884.048	-2282.382	1100.213
5	-1841.622	-1834.605	-833.032	1884.514	-2282.533	1100.677
6	-1841.529	-1834.182	-834.217	1884.037	-2283.006	1101.151
7	-1841.367	-1834.339	-835.550	1883.345	-2283.348	1101.460
8	-1841.130	-1834.846	-836.046	1883.026	-2283.037	1101.579
9	-1841.096	-1835.265	-835.542	1883.060	-2282.402	1101.413
10	-1841.463	-1835.249	-834.792	1883.199	-2282.065	1100.870
11	-1841.967	-1834.954	-834.023	1883.231	-2282.000	1100.282
12	-1842.236	-1834.941	-833.013	1883.180	-2281.956	1100.286
13	-1842.080	-1835.348	-832.464	1883.260	-2282.138	1101.007
14	-1841.580	-1835.590	-832.900	1883.433	-2282.654	1101.876
15	-1841.003	-1835.316	-833.466	1883.436	-2282.780	1102.303
16	-1840.696	-1834.949	-833.319	1883.247	-2281.862	1102.116
17	-1840.735	-1834.886	-832.735	1883.230	-2280.379	1101.683
18	-1840.969	-1835.078	-832.236	1883.499	-2279.365	1101.466
19	-1841.302	-1835.310	-832.125	1883.688	-2279.314	1101.348
20	-1841.640	-1835.333	-832.425	1883.553	-2279.891	1101.127
21	-1841.829	-1835.057	-832.606	1883.293	-2280.394	1100.971
22	-1841.768	-1834.652	-832.611	1883.181	-2280.490	1100.962
23	-1841.673	-1834.420	-833.042	1883.332	-2280.368	1100.955
24	-1841.809	-1834.492	-833.754	1883.678	-2280.155	1100.813
25	-1841.938	-1834.636	-834.064	1883.891	-2280.042	1100.489
26	-1841.882	-1834.605	-834.040	1883.602	-2280.359	1100.046
27	-1841.844	-1834.513	-834.162	1882.822	-2280.845	1099.666
28	-1841.856	-1834.604	-834.292	1882.146	-2280.831	1099.764
29	-1841.641	-1834.781	-834.144	1882.114	-2280.351	1100.496
30	-1841.152	-1834.807	-833.977	1882.639	-2280.294	1101.268
31	-1840.852	-1834.722	-834.141	1883.267	-2280.949	1101.368
32	-1840.838	-1834.666	-834.556	1883.570	-2281.594	1100.718
33	-1840.909	-1834.787	-834.644	1883.435	-2281.680	1099.883
34	-1841.133	-1835.304	-833.860	1883.157	-2281.317	1099.534
35	-1841.284	-1835.985	-832.602	1883.009	-2280.939	1099.831
36	-1841.276	-1836.005	-831.944	1883.058	-2281.141	1100.390
37	-1841.642	-1835.137	-832.204	1883.139	-2282.006	1100.744
38	-1842.029	-1834.309	-832.841	1883.047	-2282.545	1100.625
39	-1841.544	-1834.444	-833.309	1882.896	-2282.015	1100.202
40	-1840.618	-1835.298	-833.562	1882.654	-2280.951	1099.835
41	-1840.383	-1835.821	-833.673	1882.176	-2280.410	1099.754
42	-1841.079	-1835.402	-833.318	1881.775	-2280.800	1100.103
43	-1841.990	-1834.541	-832.609	1881.783	-2281.595	1100.741
44	-1842.138	-1834.121	-832.525	1882.009	-2282.118	1100.943
45	-1841.147	-1834.316	-833.567	1882.289	-2282.381	1100.277
46	-1840.112	-1834.769	-834.829	1882.605	-2282.780	1099.623
47	-1840.501	-1835.064	-835.168	1882.839	-2283.300	1099.852
