Timestamp	AccX	AccY	AccZ	Str1	Str2	Str3
0	-1841.731	-1834.729	-832.741	1866.423	-2298.510	1106.109
1	-1841.473	-1834.900	-832.244	1866.368	-2298.009	1105.673
2	-1840.698	-1834.718	-833.942	1866.404	-2298.138	1105.403
3	-1839.996	-1834.407	-836.134	1866.299	-2298.746	1104.968
4	-1840.196	-1834.407	-835.762	1865.751	-2299.058	1104.561
5	-1841.034	-1834.663	-832.836	1864.996	-2298.450	1104.594
6	-1841.557	-1834.710	-830.784	1864.737	-2297.259	1104.879
7	-1841.471	-1834.486	-831.748	1865.241	-2296.418	1104.857
8	-1841.227	-1834.390	-833.681	1865.971	-2296.512	1104.547
9	-1840.987	-1834.639	-833.971	1866.251	-2297.245	1104.251
10	-1840.813	-1834.959	-832.923	1865.904	-2297.781	1103.998
11	-1841.033	-1835.049	-832.143	1865.407	-2297.436	1103.881
12	-1841.579	-1834.856	-831.893	1865.350	-2296.432	1104.061
13	-1842.143	-1834.554	-830.975	1865.743	-2295.791	1104.344
14	-1842.356	-1834.358	-829.808	1866.039	-2296.119	1104.204
15	-1841.441	-1834.251	-831.076	1865.881	-2296.854	1103.697
16	-1839.829	-1834.275	-834.499	1865.470	-2297.098	1103.477
17	-1839.372	-1834.471	-835.846	1865.365	-2296.696	1103.704
18	-1840.126	-1834.680	-834.070	1865.915	-2296.437	1103.843
19	-1840.541	-1834.696	-832.859	1866.646	-2296.771	1103.654
20	-1840.430	-1834.591	-833.935	1866.940	-2297.198	1103.634
21	-1840.690	-1834.547	-834.864	1866.872	-2297.352	1104.187
22	-1841.633	-1834.517	-833.713	1866.877	-2297.347	1104.942
23	-1842.470	-1834.438	-832.013	1867.089	-2297.335	1105.347
24	-1842.160	-1834.553	-832.106	1867.321	-2297.310	1105.223
25	-1841.063	-1835.009	-833.584	1867.310	-2297.459	1104.613
26	-1840.462	-1835.207	-834.284	1866.797	-2297.919	1103.836
27	-1840.613	-1834.578	-833.462	1865.917	-2298.394	1103.190
28	-1840.536	-1833.759	-832.745	1865.210	-2298.539	1102.628
29	-1839.645	-1833.774	-833.710	1865.138	-2298.348	1102.135
30	-1839.158	-1834.651	-834.973	1865.489	-2297.917	1102.053
31	-1840.123	-1835.403	-834.001	1865.563	-2297.464	1102.418
32	-1841.469	-1835.346	-831.975	1865.269	-2297.470	1102.691
33	-1841.899	-1834.699	-832.030	1865.089	-2297.902	1102.515
34	-1841.634	-1834.155	-833.039	1865.154	-2298.119	1102.223
35	-1841.788	-1834.312	-832.128	1865.343	-2298.080	1102.312
36	-1842.526	-1834.918	-830.696	1865.479	-2298.241	1102.580
37	-1842.922	-1835.266	-830.982	1865.340	-2298.538	1102.550
38	-1842.537	-1835.059	-832.178	1865.028	-2298.552	1102.311
39	-1841.574	-1834.668	-833.011	1865.042	-2298.255	1102.418
40	-1840.628	-1834.462	-833.420	1865.655	-2297.822	1102.876
41	-1840.129	-1834.513	-833.957	1866.358	-2297.428	1102.870
42	-1839.759	-1834.682	-834.932	1866.752	-2297.253	1102.148
43	-1839.608	-1834.790	-835.571	1867.017	-2297.423	1101.537
44	-1840.161	-1834.717	-834.661	1867.128	-2297.787	1101.685
45	-1840.667	-1834.401	-833.498	1867.050	-2298.026	1102.216
46	-1840.508	-1834.179	-834.221	1866.990	-2298.064	1102.794
47	-1840.578	-1834.542	-835.614	1866.850	-2298.202	1103.623
48	-1841.733	-1835.193	-834.480	1866.490	-2298.598	1104.416
49	-1843.087	-1835.242	-831.503	1866.158	-2298.839	1104.564
50	-1843.253	-1834.701	-830.572	1866.299	-2298.612	1104.363
51	-1841.980	-1834.364	-832.235	1866.979	-2298.153	1104.268
52	-1840.588	-1834.465	-833.634	1867.789	-2297.677	1104.132
53	-1840.276	-1834.709	-833.295	1868.309	-2297.209	1103.877
54	-1840.494	-1834.883	-832.341	1868.276	-2296.898	1103.560
55	-1840.220	-1834.665	-832.397	1867.819	-2296.914	1103.212
56	-1839.612	-1834.224	-833.228	1867.401	-2297.308	1102.923
57	-1839.545	-1834.161	-833.296	1867.295	-2297.856	1102.648
58	-1840.091	-1834.526	-832.454	1867.589	-2298.196	1102.332
59	-1840.609	-1834.689	-832.375	1868.432	-2298.178	1102.153
60	-1841.183	-1834.537	-833.108	1869.465	-2297.911	1102.162
61	-1842.006	-1834.487	-832.865	1869.725	-2297.527	1102.281
62	-1842.501	-1834.570	-831.929	1868.946	-2297.342	1102.442
63	-1842.389	-1834.745	-832.074	1867.985	-2297.596	1102.537
64	-1841.799	-1834.986	-833.492	1867.722	-2297.907	1102.583
65	-1840.945	-1835.001	-834.766	1868.023	-2298.061	1102.765
66	-1840.459	-1834.705	-834.903	1868.137	-2298.382	1103.114
67	-1840.481	-1834.478	-834.081	1867.688	-2298.647	1103.227
68	-1840.316	-1834.502	-833.414	1866.951	-2298.230	1102.689
69	-1839.776	-1834.625	-833.797	1866.621	-2297.354	1101.912
70	-1839.483	-1834.764	-834.610	1867.002	-2296.869	1101.617
71	-1839.758	-1834.782	-834.767	1867.572	-2296.934	1101.752
72	-1840.438	-1834.477	-834.020	1867.808	-2297.212	1101.902
73	-1841.312	-1834.137	-832.903	1867.837	-2297.568	1101.942
74	-1842.120	-1834.212	-831.955	1867.827	-2297.748	1101.832
75	-1842.546	-1834.644	-831.249	1867.758	-2297.505	1101.564
76	-1842.699	-1835.020	-830.929	1867.945	-2297.102	1101.452
77	-1842.763	-1835.008	-830.935	1868.544	-2296.969	1101.810
78	-1842.411	-1834.579	-831.189	1868.995	-2297.071	1102.496
79	-1841.725	-1834.208	-831.818	1868.904	-2297.132	1103.041
80	-1840.926	-1834.436	-832.633	1868.595	-2297.226	1103.207
81	-1839.858	-1834.900	-833.105	1868.533	-2297.544	1103.255
82	-1839.107	-1834.903	-833.318	1868.750	-2297.829	1103.450
83	-1839.198	-1834.451	-833.984	1868.884	-2297.672	1103.641
84	-1839.379	-1834.111	-835.050	1868.728	-2297.076	1103.577
85	-1839.556	-1834.188	-835.342	1868.385	-2296.633	1103.292
86	-1840.506	-1834.461	-834.225	1868.122	-2296.886	1102.910
87	-1841.672	-1834.620	-832.927	1868.138	-2297.543	1102.628
88	-1842.013	-1834.549	-832.818	1868.187	-2297.890	1102.762
89	-1841.786	-1834.374	-833.523	1868.043	-2297.880	1103.374
90	-1841.810	-1834.394	-834.071	1867.860	-2297.955	1104.019
91	-1841.900	-1834.713	-833.983	1867.686	-2298.289	1104.224
92	-1841.687	-1835.001	-833.118	1867.548	-2298.552	1103.963
93	-1841.419	-1834.829	-832.170	1867.728	-2298.295	1103.628
94	-1841.029	-1834.397	-831.820	1868.309	-2297.641	1103.558
95	-1840.402	-1834.319	-831.900	1868.880	-2297.126	1103.575
96	-1839.863	-1834.597	-832.294	1868.934	-2296.940	1103.434
97	-1839.530	-1834.734	-833.110	1868.438	-2296.945	1103.327
98	-1839.498	-1834.588	-833.538	1867.893	-2297.151	1103.414
99	-1839.959	-1834.335	-832.904	1867.776	-2297.616	1103.422
100	-1840.909	-1834.233	-831.585	1867.968	-2298.003	1103.140
101	-1841.900	-1834.394	-830.619	1868.051	-2298.015	1102.876
102	-1842.252	-1834.737	-830.970	1867.886	-2297.929	1103.042
103	-1841.984	-1834.900	-832.368	1867.760	-2298.249	1103.576
104	-1841.565	-1834.642	-833.525	1867.955	-2298.861	1104.108
105	-1841.106	-1834.185	-833.635	1868.184	-2299.162	1104.427
106	-1840.429	-1833.984	-833.690	1868.233	-2299.042	1104.467
107	-1839.975	-1834.286	-834.609	1868.405	-2298.915	1104.093
108	-1840.062	-1834.891	-835.448	1868.669	-2298.945	1103.269
109	-1840.420	-1835.199	-834.940	1868.860	-2298.807	1102.360
110	-1840.787	-1834.930	-833.608	1869.049	-2298.524	1102.076
111	-1840.645	-1834.319	-833.141	1869.208	-2298.486	1102.752
112	-1839.984	-1833.820	-833.795	1869.144	-2298.708	1103.764
113	-1840.015	-1833.851	-833.910	1868.900	-2298.840	1104.157
114	-1841.192	-1834.494	-832.784	1868.733	-2298.807	1103.609
115	-1842.345	-1835.221	-831.567	1868.562	-2298.871	1102.549
116	-1842.715	-1835.303	-830.796	1868.275	-2298.978	1101.789
117	-1842.677	-1834.723	-830.297	1868.066	-2298.737	1101.715
118	-1842.334	-1834.086	-830.344	1868.079	-2298.339	1102.141
119	-1841.383	-1833.948	-831.159	1868.189	-2298.431	1102.809
120	-1840.534	-1834.427	-832.653	1868.130	-2298.954	1103.341
121	-1840.322	-1835.037	-834.165	1867.796	-2299.158	1103.375
122	-1840.011	-1835.094	-834.607	1867.409	-2298.788	1103.164
123	-1839.766	-1834.542	-833.789	1867.302	-2298.300	1103.072
