Timestamp	AccX	AccY	AccZ	Str1	Str2	Str3
0	-1841.185	-1835.159	-833.805	1876.670	-2294.923	1100.037
1	-1841.385	-1834.882	-833.554	1876.531	-2295.720	1100.012
2	-1841.518	-1834.671	-833.625	1876.517	-2295.855	1100.564
3	-1841.615	-1834.705	-833.672	1876.593	-2295.257	1101.174
4	-1841.681	-1834.862	-833.380	1876.620	-2294.388	1101.260
5	-1841.653	-1834.971	-833.002	1876.589	-2293.717	1101.048
6	-1841.502	-1834.925	-832.759	1876.684	-2293.385	1100.991
7	-1841.340	-1834.752	-832.526	1877.021	-2293.293	1101.201
8	-1841.232	-1834.650	-832.478	1877.435	-2293.082	1101.511
9	-1841.039	-1834.652	-832.765	1877.552	-2292.777	1101.626
10	-1840.790	-1834.679	-833.112	1877.357	-2292.948	1101.419
11	-1840.609	-1834.738	-833.294	1877.213	-2293.476	1101.171
12	-1840.583	-1834.748	-833.241	1877.268	-2293.473	1101.056
13	-1840.926	-1834.634	-832.956	1877.463	-2292.882	1100.956
14	-1841.510	-1834.501	-832.746	1877.657	-2292.604	1100.968
15	-1841.833	-1834.502	-832.904	1877.564	-2292.989	1101.301
16	-1841.715	-1834.671	-833.299	1877.201	-2293.495	1101.746
17	-1841.472	-1834.797	-833.578	1877.003	-2293.562	1101.865
18	-1841.368	-1834.686	-833.683	1877.145	-2293.460	1101.651
19	-1841.439	-1834.522	-833.723	1877.249	-2293.707	1101.365
20	-1841.468	-1834.586	-833.747	1877.101	-2293.958	1100.957
21	-1841.281	-1834.816	-833.780	1877.021	-2293.548	1100.297
22	-1841.071	-1834.910	-833.796	1877.370	-2292.811	1099.576
23	-1841.054	-1834.725	-833.777	1877.917	-2292.751	1099.119
24	-1841.149	-1834.465	-833.784	1877.949	-2293.399	1099.279
25	-1841.222	-1834.501	-833.773	1877.381	-2294.092	1099.934
26	-1841.209	-1834.821	-833.584	1876.998	-2294.519	1100.308
27	-1841.273	-1835.027	-833.211	1877.324	-2294.537	1099.999
28	-1841.606	-1834.897	-832.784	1878.011	-2294.041	1099.438
29	-1841.959	-1834.720	-832.464	1878.276	-2293.496	1099.239
30	-1841.930	-1834.791	-832.420	1877.844	-2293.657	1099.244
31	-1841.638	-1834.958	-832.605	1877.164	-2294.373	1098.865
32	-1841.498	-1834.990	-832.840	1876.719	-2294.859	1098.076
33	-1841.553	-1834.924	-832.996	1876.678	-2294.965	1097.288
34	-1841.605	-1834.921	-832.909	1877.066	-2295.170	1096.612
35	-1841.594	-1835.023	-832.704	1877.714	-2295.638	1096.093
36	-1841.455	-1834.999	-832.850	1878.128	-2295.948	1096.139
37	-1841.216	-1834.694	-833.462	1877.982	-2295.636	1096.902
38	-1841.077	-1834.392	-834.096	1877.590	-2294.734	1097.653
39	-1841.048	-1834.436	-834.357	1877.610	-2294.056	1097.811
40	-1841.015	-1834.719	-834.211	1878.207	-2294.600	1097.599
41	-1841.084	-1834.892	-833.867	1878.876	-2296.174	1097.333
42	-1841.369	-1834.824	-833.595	1879.046	-2297.194	1097.350
43	-1841.600	-1834.616	-833.498	1878.634	-2296.693	1098.151
44	-1841.537	-1834.446	-833.521	1878.116	-2295.455	1099.800
45	-1841.327	-1834.463	-833.621	1877.950	-2294.694	1101.267
46	-1841.110	-1834.670	-833.723	1878.030	-2294.618	1101.210
47	-1841.005	-1834.936	-833.588	1877.987	-2294.807	1099.737
48	-1841.074	-1835.033	-833.167	1877.649	-2294.996	1098.272
49	-1841.193	-1834.842	-832.821	1877.118	-2294.811	1097.639
50	-1841.254	-1834.558	-832.711	1876.529	-2294.088	1097.511
51	-1841.202	-1834.456	-832.691	1875.699	-2293.390	1097.429
52	-1841.012	-1834.577	-832.797	1874.839	-2293.326	1097.317
53	-1840.900	-1834.771	-832.947	1874.831	-2293.717	1097.283
54	-1841.113	-1834.884	-832.879	1875.879	-2294.046	1097.393
55	-1841.494	-1834.771	-832.699	1877.055	-2294.318	1097.487
56	-1841.762	-1834.466	-832.565	1877.493	-2294.603	1097.231
57	-1841.838	-1834.314	-832.542	1877.446	-2294.473	1096.635
58	-1841.684	-1834.542	-832.908	1877.500	-2293.924	1096.488
59	-1841.442	-1834.955	-833.618	1877.461	-2293.792	1097.382
60	-1841.324	-1835.171	-834.206	1876.984	-2294.576	1098.577
61	-1841.289	-1835.027	-834.440	1876.443	-2295.290	1099.004
62	-1841.233	-1834.601	-834.371	1876.432	-2294.855	1098.535
63	-1841.202	-1834.205	-834.094	1876.926	-2293.721	1097.577
64	-1841.200	-1834.282	-833.880	1877.342	-2293.099	1096.646
65	-1841.256	-1834.778	-833.814	1877.397	-2293.313	1096.328
66	-1841.396	-1835.088	-833.647	1877.368	-2293.732	1096.884
67	-1841.440	-1834.906	-833.518	1877.575	-2293.752	1098.024
68	-1841.353	-1834.559	-833.678	1878.049	-2293.177	1099.072
69	-1841.503	-1834.476	-833.433	1878.473	-2292.233	1099.299
70	-1841.890	-1834.623	-832.419	1878.486	-2291.636	1098.666
71	-1841.931	-1834.771	-831.796	1878.087	-2291.997	1097.863
72	-1841.636	-1834.839	-832.058	1877.583	-2293.100	1097.622
73	-1841.372	-1834.838	-832.495	1877.374	-2294.096	1098.177
74	-1841.114	-1834.778	-832.786	1877.615	-2294.385	1099.062
75	-1840.951	-1834.660	-832.890	1878.129	-2294.129	1099.400
76	-1841.027	-1834.500	-832.885	1878.457	-2293.954	1098.860
77	-1841.013	-1834.380	-833.153	1878.313	-2294.171	1098.104
78	-1840.884	-1834.417	-833.481	1877.891	-2294.474	1097.788
79	-1840.975	-1834.576	-833.459	1877.560	-2294.393	1097.753
80	-1841.229	-1834.700	-833.485	1877.574	-2293.845	1097.647
81	-1841.458	-1834.691	-833.844	1877.791	-2293.295	1097.652
82	-1841.534	-1834.598	-834.207	1877.771	-2293.265	1097.954
83	-1841.384	-1834.568	-834.335	1877.456	-2293.837	1098.345
84	-1841.453	-1834.663	-834.022	1877.013	-2294.770	1098.744
85	-1841.827	-1834.677	-833.376	1876.481	-2295.719	1099.155
86	-1841.724	-1834.533	-833.210	1876.230	-2296.114	1099.673
87	-1841.262	-1834.495	-833.519	1876.453	-2295.623	1100.527
88	-1841.200	-1834.706	-833.574	1876.693	-2294.596	1101.376
89	-1841.261	-1834.933	-833.321	1876.645	-2293.737	1101.236
90	-1841.036	-1834.964	-833.156	1876.515	-2293.443	1100.022
