Timestamp	AccX	AccY	AccZ	Str1	Str2	Str3
0	-1841.611	-1835.054	-832.530	1877.818	-2290.570	1102.834
1	-1841.608	-1835.312	-832.386	1877.767	-2290.635	1103.099
2	-1841.081	-1835.260	-832.943	1877.445	-2290.257	1103.276
3	-1840.716	-1834.991	-834.039	1877.078	-2289.754	1103.192
4	-1841.007	-1834.728	-834.312	1877.063	-2289.670	1102.906
5	-1841.643	-1834.679	-833.234	1877.404	-2290.095	1102.588
6	-1842.080	-1834.852	-832.241	1877.665	-2290.659	1102.567
7	-1841.919	-1835.004	-832.776	1877.405	-2290.959	1102.971
8	-1841.285	-1834.966	-834.104	1876.700	-2290.917	1103.288
9	-1840.922	-1834.748	-834.454	1876.242	-2290.864	1103.016
10	-1841.118	-1834.411	-833.713	1876.334	-2290.936	1102.453
11	-1841.359	-1834.126	-833.276	1876.648	-2290.859	1102.071
12	-1841.312	-1834.214	-833.586	1876.930	-2290.427	1101.868
13	-1841.206	-1834.759	-833.615	1877.064	-2289.779	1101.856
14	-1841.216	-1835.239	-832.879	1877.058	-2289.181	1102.125
15	-1841.269	-1835.059	-832.290	1877.168	-2288.741	1102.540
16	-1841.227	-1834.475	-832.670	1877.504	-2288.634	1103.001
17	-1841.040	-1834.303	-833.434	1877.753	-2288.858	1103.404
18	-1840.811	-1834.808	-833.506	1877.734	-2289.088	1103.397
19	-1840.670	-1835.412	-833.028	1877.491	-2289.172	1102.718
20	-1840.718	-1835.483	-832.925	1877.146	-2289.400	1101.770
21	-1841.009	-1835.054	-833.070	1876.861	-2290.047	1101.365
22	-1841.337	-1834.608	-832.582	1876.850	-2290.760	1101.782
23	-1841.363	-1834.537	-831.952	1877.218	-2290.950	1102.545
24	-1841.071	-1834.765	-832.597	1877.690	-2290.420	1103.033
25	-1840.782	-1834.943	-834.334	1877.726	-2289.669	1103.009
26	-1840.943	-1834.916	-835.157	1877.209	-2289.243	1102.767
27	-1841.572	-1834.756	-833.953	1876.669	-2289.150	1102.648
28	-1842.078	-1834.572	-832.097	1876.407	-2289.217	1102.502
29	-1841.904	-1834.450	-831.787	1876.221	-2289.393	1102.133
30	-1841.320	-1834.472	-833.213	1876.039	-2289.491	1102.018
31	-1841.047	-1834.677	-834.351	1876.109	-2289.311	1102.659
32	-1841.094	-1834.929	-834.169	1876.380	-2289.140	1103.538
33	-1841.038	-1834.992	-833.796	1876.592	-2289.400	1103.726
34	-1840.964	-1834.811	-833.935	1876.772	-2290.049	1103.020
35	-1841.136	-1834.610	-833.675	1877.092	-2290.701	1101.963
36	-1841.383	-1834.679	-832.631	1877.419	-2291.021	1101.315
37	-1841.539	-1835.065	-831.993	1877.502	-2290.955	1101.553
38	-1841.528	-1835.380	-832.775	1877.342	-2290.675	1102.392
39	-1841.296	-1835.245	-834.050	1876.982	-2290.338	1103.240
40	-1841.111	-1834.874	-834.120	1876.482	-2290.025	1103.789
41	-1841.227	-1834.685	-833.046	1876.225	-2289.788	1103.857
42	-1841.509	-1834.754	-832.377	1876.606	-2289.793	1103.403
43	-1841.781	-1834.966	-832.642	1877.162	-2290.143	1102.786
44	-1841.926	-1835.188	-832.861	1877.291	-2290.451	1102.589
45	-1841.727	-1835.191	-832.624	1877.165	-2290.277	1103.080
46	-1841.285	-1834.838	-832.859	1877.137	-2289.906	1103.814
47	-1840.951	-1834.341	-833.885	1877.207	-2289.871	1104.095
48	-1840.953	-1834.082	-834.452	1877.169	-2290.304	1103.799
49	-1841.294	-1834.260	-833.706	1876.755	-2290.913	1103.264
50	-1841.639	-1834.764	-832.658	1876.191	-2291.267	1102.780
51	-1841.564	-1835.177	-832.688	1876.209	-2291.159	1102.669
52	-1841.153	-1835.092	-833.504	1876.884	-2290.973	1103.088
53	-1840.932	-1834.644	-833.771	1877.335	-2291.344	1103.651
54	-1841.017	-1834.354	-833.427	1877.067	-2292.055	1103.782
55	-1841.061	-1834.545	-833.454	1876.524	-2292.362	1103.416
56	-1840.933	-1835.041	-833.783	1876.222	-2292.264	1102.912
57	-1840.907	-1835.328	-833.530	1876.247	-2292.287	1102.529
58	-1841.138	-1835.081	-832.568	1876.618	-2292.427	1102.465
59	-1841.239	-1834.561	-831.779	1877.281	-2292.333	1102.746
60	-1840.935	-1834.317	-832.147	1877.772	-2291.761	1103.165
61	-1840.534	-1834.502	-833.423	1877.693	-2290.690	1103.561
62	-1840.463	-1834.730	-834.092	1877.342	-2289.678	1103.753
63	-1840.831	-1834.737	-833.626	1877.123	-2289.621	1103.539
64	-1841.306	-1834.611	-833.023	1877.125	-2290.573	1103.052
65	-1841.447	-1834.432	-832.895	1877.182	-2291.295	1102.660
66	-1841.393	-1834.292	-832.940	1877.123	-2290.657	1102.578
67	-1841.552	-1834.305	-832.934	1877.032	-2289.226	1102.799
68	-1841.810	-1834.440	-833.125	1876.971	-2288.507	1102.972
69	-1841.759	-1834.594	-833.664	1876.855	-2288.955	1102.768
70	-1841.499	-1834.735	-834.124	1876.879	-2289.479	1102.383
71	-1841.399	-1834.787	-833.877	1877.341	-2289.076	1102.097
72	-1841.385	-1834.662	-833.028	1878.068	-2288.283	1101.875
73	-1841.253	-1834.569	-832.586	1878.385	-2288.120	1101.660
74	-1841.173	-1834.795	-833.129	1877.939	-2288.495	1101.703
75	-1841.071	-1835.193	-833.900	1877.241	-2288.703	1102.321
76	-1840.705	-1835.363	-834.022	1876.944	-2288.506	1103.097
77	-1840.402	-1835.163	-833.774	1877.148	-2288.242	1103.285
78	-1840.585	-1834.750	-833.596	1877.564	-2288.242	1102.886
79	-1841.049	-1834.376	-833.287	1877.800	-2288.489	1102.316
80	-1841.414	-1834.374	-832.713	1877.619	-2289.103	1101.876
81	-1841.411	-1834.769	-832.368	1877.151	-2290.111	1101.738
82	-1840.979	-1835.034	-832.750	1876.762	-2290.907	1101.753
83	-1840.744	-1834.827	-833.395	1876.724	-2290.936	1101.561
84	-1841.271	-1834.452	-833.503	1876.919	-2290.484	1101.223
85	-1842.011	-1834.313	-833.096	1877.111	-2290.032	1101.095
86	-1842.107	-1834.472	-832.780	1877.200	-2289.841	1101.314
87	-1841.700	-1834.801	-832.890	1876.881	-2289.980	1101.781
