Timestamp	AccX	AccY	AccZ	Str1	Str2	Str3
0	-1841.547	-1834.455	-832.079	1866.929	-2299.615	1104.697
1	-1842.299	-1835.246	-830.712	1866.772	-2299.819	1102.602
2	-1842.762	-1835.834	-831.138	1866.157	-2299.936	1101.166
3	-1842.282	-1835.920	-832.729	1865.581	-2299.967	1101.174
4	-1841.134	-1835.290	-834.594	1865.507	-2299.992	1102.507
5	-1840.608	-1834.279	-835.545	1865.830	-2300.039	1104.037
6	-1841.123	-1833.718	-834.853	1866.235	-2300.147	1104.586
7	-1842.241	-1834.101	-833.244	1866.431	-2300.304	1103.879
8	-1842.944	-1835.107	-831.914	1866.347	-2300.460	1102.286
9	-1842.004	-1835.992	-831.974	1866.382	-2300.430	1100.432
10	-1840.369	-1836.026	-833.767	1866.801	-2300.063	1099.300
11	-1839.709	-1834.926	-835.391	1867.193	-2299.688	1099.961
12	-1839.931	-1833.696	-835.334	1867.132	-2299.748	1102.142
13	-1840.451	-1833.661	-834.313	1866.803	-2300.042	1104.005
14	-1840.950	-1834.634	-833.084	1866.472	-2300.170	1104.155
15	-1841.296	-1835.478	-832.084	1866.314	-2300.232	1102.825
16	-1841.688	-1835.702	-831.775	1866.510	-2300.292	1101.246
17	-1841.846	-1835.435	-832.101	1866.955	-2300.085	1100.727
18	-1841.621	-1834.990	-832.968	1867.146	-2299.656	1101.545
19	-1841.523	-1834.657	-834.047	1866.777	-2299.352	1102.830
20	-1841.745	-1834.616	-834.248	1866.264	-2299.426	1103.709
21	-1841.997	-1834.840	-833.259	1866.244	-2299.800	1103.913
22	-1841.855	-1835.128	-832.337	1866.684	-2300.169	1103.482
23	-1841.139	-1835.315	-832.684	1867.039	-2300.333	1102.663
24	-1840.642	-1835.319	-833.817	1867.191	-2300.321	1102.015
25	-1840.929	-1835.018	-834.312	1867.372	-2300.051	1102.034
26	-1841.009	-1834.536	-834.290	1867.408	-2299.643	1102.817
27	-1840.664	-1834.375	-834.339	1866.970	-2299.376	1104.155
28	-1840.884	-1834.688	-834.090	1866.424	-2299.266	1105.307
29	-1841.415	-1835.018	-833.610	1866.318	-2299.522	1105.327
30	-1841.535	-1834.987	-833.230	1866.677	-2300.205	1104.116
31	-1841.474	-1834.774	-832.905	1866.967	-2300.750	1102.533
32	-1841.218	-1834.734	-832.828	1866.838	-2300.785	1101.671
33	-1840.912	-1834.718	-832.914	1866.607	-2300.491	1102.030
34	-1841.067	-1834.505	-832.663	1866.659	-2300.150	1103.176
35	-1841.182	-1834.303	-832.387	1867.150	-2299.933	1104.224
36	-1840.720	-1834.253	-832.486	1867.762	-2299.885	1104.413
37	-1840.446	-1834.397	-832.611	1868.054	-2299.768	1103.596
38	-1840.528	-1834.776	-832.807	1868.011	-2299.311	1102.317
39	-1840.602	-1835.020	-832.843	1867.796	-2298.648	1101.285
40	-1840.731	-1834.752	-832.690	1867.544	-2298.165	1100.866
41	-1841.000	-1834.396	-833.138	1867.404	-2297.935	1101.201
42	-1841.469	-1834.385	-833.817	1867.238	-2297.801	1102.036
43	-1841.985	-1834.550	-833.687	1866.778	-2297.902	1102.769
44	-1842.158	-1834.855	-832.852	1866.282	-2298.425	1103.038
45	-1841.991	-1835.298	-832.222	1866.304	-2299.273	1102.883
46	-1841.753	-1835.308	-832.497	1866.925	-2300.063	1102.546
47	-1841.474	-1834.485	-833.532	1867.528	-2300.468	1102.339
48	-1840.990	-1833.604	-834.369	1867.421	-2300.457	1102.587
49	-1840.521	-1833.798	-834.320	1866.692	-2300.218	1103.251
50	-1840.548	-1834.958	-833.704	1866.085	-2299.667	1103.849
51	-1840.970	-1835.718	-833.014	1866.131	-2298.766	1103.926
52	-1841.279	-1835.351	-832.557	1866.587	-2298.070	1103.505
53	-1841.214	-1834.563	-832.602	1866.891	-2298.100	1103.027
54	-1840.865	-1834.154	-832.973	1866.877	-2298.597	1103.119
55	-1840.526	-1834.179	-833.243	1866.802	-2299.164	1103.846
56	-1840.426	-1834.546	-833.514	1866.835	-2299.863	1104.512
57	-1840.713	-1835.207	-833.740	1866.659	-2300.449	1104.582
58	-1841.133	-1835.540	-833.416	1866.177	-2300.460	1104.323
59	-1841.548	-1835.046	-832.608	1865.927	-2300.067	1104.107
60	-1841.998	-1834.264	-832.117	1866.122	-2299.933	1103.784
61	-1842.101	-1834.075	-832.346	1866.348	-2300.243	1103.234
62	-1841.770	-1834.535	-832.700	1866.384	-2300.588	1102.722
63	-1841.345	-1834.981	-832.986	1866.393	-2300.586	1102.826
64	-1840.812	-1834.913	-833.876	1866.432	-2300.155	1103.682
65	-1840.442	-1834.592	-834.680	1866.390	-2299.530	1104.393
66	-1840.697	-1834.525	-833.851	1866.387	-2299.292	1103.983
67	-1841.237	-1834.699	-832.075	1866.456	-2299.768	1102.594
68	-1841.517	-1834.720	-831.394	1866.470	-2300.470	1101.334
69	-1841.365	-1834.591	-832.495	1866.686	-2300.867	1100.890
70	-1840.737	-1834.635	-834.342	1867.149	-2300.945	1100.917
71	-1840.249	-1834.856	-835.051	1867.280	-2300.882	1100.986
72	-1840.508	-1834.798	-833.929	1866.710	-2300.850	1101.196
73	-1841.031	-1834.390	-832.695	1865.859	-2300.888	1101.740
74	-1841.155	-1834.180	-832.553	1865.352	-2300.671	1102.448
75	-1840.956	-1834.494	-832.752	1865.494	-2300.092	1102.912
76	-1840.993	-1834.929	-833.074	1866.168	-2299.646	1103.014
77	-1841.299	-1835.054	-833.954	1867.039	-2299.757	1103.203
78	-1841.364	-1834.938	-834.709	1867.777	-2300.154	1103.435
79	-1841.189	-1834.699	-834.282	1868.041	-2300.144	1103.103
80	-1841.255	-1834.450	-832.726	1867.802	-2299.657	1102.349
81	-1841.645	-1834.433	-831.371	1867.189	-2299.410	1101.828
82	-1841.852	-1834.632	-831.519	1866.367	-2299.569	1101.694
83	-1841.653	-1834.781	-832.658	1865.969	-2299.343	1101.824
84	-1841.330	-1834.779	-833.394	1866.426	-2298.491	1101.854
85	-1841.135	-1834.695	-833.490	1867.133	-2298.004	1101.234
86	-1841.172	-1834.507	-833.501	1867.226	-2298.397	1100.160
87	-1841.230	-1834.363	-833.464	1866.788	-2298.988	1099.533
88	-1841.233	-1834.573	-832.981	1866.357	-2299.306	1099.674
89	-1841.338	-1834.984	-832.353	1866.047	-2299.307	1100.165
90	-1841.390	-1835.137	-832.422	1865.808	-2298.986	1100.896
91	-1841.079	-1834.877	-833.496	1865.582	-2298.538	1102.007
92	-1840.682	-1834.500	-834.687	1865.426	-2298.201	1103.272
93	-1840.835	-1834.381	-834.651	1865.563	-2298.074	1104.058
94	-1841.390	-1834.579	-833.479	1866.062	-2298.037	1103.669
95	-1841.695	-1834.913	-832.481	1866.635	-2297.883	1102.082
96	-1841.578	-1835.117	-832.295	1866.868	-2297.680	1100.235
97	-1841.212	-1834.858	-832.448	1866.666	-2297.710	1099.253
98	-1840.686	-1834.208	-832.690	1866.434	-2297.951	1099.607
99	-1840.124	-1833.879	-833.418	1866.537	-2298.060	1100.719
100	-1839.945	-1834.301	-834.449	1866.819	-2297.922	1101.514
101	-1840.231	-1834.964	-834.606	1867.023	-2297.866	1101.649
102	-1840.763	-1835.240	-833.322	1867.250	-2298.205	1101.474
103	-1841.466	-1835.083	-831.618	1867.508	-2298.684	1101.265
104	-1841.920	-1834.717	-830.922	1867.676	-2298.765	1101.082
105	-1841.650	-1834.436	-831.783	1867.767	-2298.486	1101.267
106	-1841.114	-1834.533	-833.239	1867.889	-2298.370	1102.246
107	-1840.988	-1834.833	-834.033	1868.192	-2298.554	1103.583
108	-1841.260	-1834.878	-833.898	1868.553	-2298.949	1104.146
109	-1841.505	-1834.635	-833.247	1868.598	-2299.384	1103.323
110	-1841.424	-1834.502	-832.642	1868.245	-2299.471	1101.693
111	-1841.229	-1834.667	-832.327	1867.818	-2299.192	1100.136
112	-1841.244	-1834.837	-832.488	1867.570	-2298.942	1099.099
113	-1841.172	-1834.708	-833.542	1867.505	-2299.005	1099.165
114	-1840.697	-1834.377	-834.931	1867.574	-2299.221	1100.797
115	-1840.215	-1834.218	-835.206	1867.785	-2299.306	1103.169
116	-1840.328	-1834.400	-834.060	1867.924	-2299.338	1104.799
117	-1841.160	-1834.766	-832.515	1867.756	-2299.341	1105.047
118	-1842.087	-1834.999	-831.759	1867.278	-2299.138	1104.185
119	-1842.381	-1834.923	-832.178	1866.755	-2298.804	1103.190
120	-1841.932	-1834.705	-833.045	1866.671	-2298.625	1102.995
121	-1841.296	-1834.555	-833.666	1866.993	-2298.635	1103.345
122	-1840.915	-1834.490	-833.932	1867.283	-2298.478	1103.400
123	-1840.886	-1834.594	-833.693	1867.165	-2297.852	1102.988
124	-1841.212	-1834.862	-833.008	1866.655	-2297.194	1102.409
125	-1841.564	-1834.935	-832.349	1866.121	-2297.301	1101.547
126	-1841.567	-1834.716	-832.196	1865.874	-2298.223	1100.295
127	-1841.149	-1834.574	-832.851	1865.889	-2299.158	1099.321
128	-1840.498	-1834.656	-833.890	1865.987	-2299.551	1099.560
129	-1840.209	-1834.815	-834.450	1866.169	-2299.523	1101.035
130	-1840.723	-1834.931	-834.274	1866.519	-2299.212	1102.780
131	-1841.449	-1834.894	-833.587	1866.982	-2298.745	1103.598
132	-1841.763	-1834.729	-832.544	1867.237	-2298.489	1103.055
133	-1841.733	-1834.658	-831.747	1866.939	-2298.497	1101.593
134	-1841.459	-1834.710	-832.006	1866.553	-2298.512	1099.994
135	-1841.004	-1834.697	-833.103	1866.816	-2298.492	1099.137
136	-1840.691	-1834.646	-834.029	1867.563	-2298.439	1099.484
137	-1840.561	-1834.592	-834.230	1867.990	-2298.248	1100.634
138	-1840.666	-1834.557	-833.633	1867.637	-2297.916	1101.633
139	-1840.906	-1834.568	-832.764	1866.916	-2297.871	1101.724
140	-1840.908	-1834.545	-832.407	1866.511	-2298.378	1100.976
141	-1840.729	-1834.465	-832.650	1866.639	-2298.911	1100.207
142	-1840.735	-1834.400	-833.122	1866.995	-2298.857	1100.336
143	-1840.873	-1834.372	-833.706	1867.262	-2298.398	1101.793
144	-1841.003	-1834.398	-834.151	1867.312	-2298.071	1103.921
145	-1841.142	-1834.561	-834.087	1867.117	-2298.010	1105.356
146	-1841.396	-1834.807	-833.470	1866.805	-2298.221	1105.385
147	-1841.894	-1834.933	-832.557	1866.523	-2298.677	1104.220
148	-1842.403	-1834.874	-831.889	1866.314	-2299.121	1102.354
149	-1842.179	-1834.699	-832.082	1866.283	-2299.342	1100.615
150	-1841.252	-1834.521	-833.053	1866.472	-2299.450	1100.196
151	-1840.546	-1834.503	-833.976	1866.653	-2299.511	1101.591
152	-1840.541	-1834.673	-834.052	1866.496	-2299.457	1103.822
153	-1840.996	-1834.735	-833.171	1866.173	-2299.417	1105.256
154	-1841.448	-1834.605	-832.046	1866.139	-2299.371	1104.927
155	-1841.391	-1834.624	-831.757	1866.312	-2299.026	1103.417
156	-1840.828	-1834.808	-832.717	1866.355	-2298.453	1102.431
157	-1840.470	-1834.805	-833.916	1866.416	-2298.335	1103.002
158	-1840.608	-1834.515	-834.299	1866.592	-2298.900	1104.639
159	-1840.941	-1834.223	-833.879	1866.526	-2299.482	1106.137
160	-1841.273	-1834.286	-833.206	1866.191	-2299.416	1106.455
161	-1841.535	-1834.746	-832.658	1866.117	-2298.995	1105.321
162	-1841.603	-1835.268	-832.591	1866.430	-2299.045	1103.343
163	-1841.518	-1835.381	-833.024	1866.630	-2299.758	1101.484
164	-1841.334	-1834.975	-833.504	1866.501	-2300.496	1100.490
165	-1841.085	-1834.463	-833.750	1866.241	-2300.591	1100.526
